
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
     mean_data_1[0]      1.82      0.00      1.82      1.82      1.82     89.08      0.99
     mean_data_1[1]      3.61      0.00      3.61      3.61      3.61    142.77      1.00
     mean_data_1[2]     -0.05      0.00     -0.05     -0.05     -0.05    113.84      1.00
     mean_data_1[3]     -0.01      0.00     -0.01     -0.01     -0.00     79.36      1.05
     mean_data_1[4]     -0.00      0.00     -0.00     -0.00      0.00    108.32      1.02
     mean_data_1[5]      0.00      0.00      0.00      0.00      0.01    108.71      1.03
     mean_data_1[6]      0.03      0.00      0.03      0.02      0.03    101.27      0.99
     mean_data_1[7]      0.02      0.00      0.02      0.02      0.02    111.81      0.99
     mean_data_2[0]      4.01      0.00      4.01      4.01      4.01    113.17      0.99
     mean_data_2[1]     -2.71      0.00     -2.71     -2.72     -2.71    119.22      1.04
     mean_data_2[2]     -0.05      0.00     -0.05     -0.05     -0.04    128.00      1.01
     mean_data_2[3]      0.07      0.00      0.07      0.07      0.07    140.73      0.99
     mean_data_2[4]     -0.02      0.00     -0.02     -0.02     -0.02    116.07      0.99
     mean_data_2[5]     -0.00      0.00     -0.00     -0.01     -0.00    114.65      1.01
     mean_data_2[6]     -0.01      0.00     -0.01     -0.01     -0.01    117.48      1.00
     mean_data_2[7]     -0.01      0.00     -0.01     -0.01     -0.01    111.01      1.00
     mean_data_3[0]     -2.11      0.00     -2.11     -2.11     -2.11    137.34      1.00
     mean_data_3[1]     -0.52      0.00     -0.52     -0.52     -0.52    125.93      1.01
     mean_data_3[2]      0.04      0.00      0.04      0.04      0.04    131.82      1.00
     mean_data_3[3]     -0.02      0.00     -0.02     -0.02     -0.02    101.19      1.01
     mean_data_3[4]      0.01      0.00      0.01      0.01      0.01    151.62      1.01
     mean_data_3[5]     -0.00      0.00     -0.00     -0.00      0.00     93.15      1.00
     mean_data_3[6]     -0.01      0.00     -0.01     -0.01     -0.01    169.62      0.99
     mean_data_3[7]     -0.01      0.00     -0.01     -0.01     -0.00    110.92      1.01
               mu_1      0.02      0.00      0.02      0.02      0.03     16.99      1.00
               mu_2      0.01      0.00      0.01      0.01      0.02     29.03      1.00
 upper_tri_cov_1[0]     -0.26      0.10     -0.27     -0.44     -0.10     55.28      1.02
 upper_tri_cov_1[1]     -0.05      0.09     -0.04     -0.17      0.12     31.48      1.07
 upper_tri_cov_1[2]      0.12      0.09      0.12     -0.01      0.24     31.88      1.06
 upper_tri_cov_1[3]      0.04      0.10      0.01     -0.10      0.20     47.61      1.01
 upper_tri_cov_1[4]      0.05      0.08      0.04     -0.06      0.21     69.93      1.00
 upper_tri_cov_1[5]      0.03      0.11      0.02     -0.15      0.18     49.31      1.01
 upper_tri_cov_1[6]      0.00      0.08      0.01     -0.15      0.11     29.65      1.01
 upper_tri_cov_1[7]     -0.03      0.13     -0.03     -0.18      0.21     15.33      1.02
 upper_tri_cov_1[8]     -0.22      0.09     -0.23     -0.34     -0.07     35.53      1.00
 upper_tri_cov_1[9]      0.04      0.08      0.05     -0.10      0.14     27.36      1.03
upper_tri_cov_1[10]     -0.02      0.10     -0.02     -0.17      0.15     26.63      1.07
upper_tri_cov_1[11]     -0.08      0.11     -0.09     -0.24      0.09     23.85      1.02
upper_tri_cov_1[12]      0.00      0.10      0.00     -0.13      0.19     48.60      1.00
upper_tri_cov_1[13]     -0.02      0.10     -0.00     -0.23      0.10     24.98      1.00
upper_tri_cov_1[14]     -0.00      0.08     -0.01     -0.11      0.15     46.23      1.00
upper_tri_cov_1[15]      0.53      0.07      0.54      0.41      0.63     59.68      1.00
upper_tri_cov_1[16]      0.07      0.06      0.07     -0.04      0.15     47.69      1.01
upper_tri_cov_1[17]     -0.03      0.07     -0.05     -0.13      0.09     26.01      1.01
upper_tri_cov_1[18]      0.00      0.07     -0.00     -0.12      0.11     12.78      1.08
upper_tri_cov_1[19]      0.01      0.07      0.02     -0.10      0.15     32.86      1.08
upper_tri_cov_1[20]      0.03      0.08      0.03     -0.09      0.14     12.81      0.99
upper_tri_cov_1[21]     -0.25      0.09     -0.25     -0.38     -0.11     34.48      1.03
upper_tri_cov_1[22]      0.04      0.10      0.05     -0.11      0.17     36.31      1.00
upper_tri_cov_1[23]      0.01      0.08      0.01     -0.10      0.16     33.52      0.99
upper_tri_cov_1[24]     -0.04      0.09     -0.02     -0.21      0.09     45.79      1.04
upper_tri_cov_1[25]      0.03      0.10      0.03     -0.10      0.21     71.07      0.99
upper_tri_cov_1[26]     -0.19      0.11     -0.17     -0.35      0.04     29.96      1.01
upper_tri_cov_1[27]      0.09      0.09      0.10     -0.09      0.19     22.52      1.03
upper_tri_cov_1[28]      0.04      0.11      0.05     -0.16      0.20     17.70      1.09
upper_tri_cov_1[29]      0.02      0.08      0.03     -0.11      0.12     58.13      1.02
upper_tri_cov_1[30]     -0.30      0.10     -0.31     -0.46     -0.15     38.08      0.99
upper_tri_cov_1[31]      0.05      0.09      0.05     -0.07      0.18     29.28      1.02
upper_tri_cov_1[32]     -0.00      0.09      0.00     -0.14      0.15     40.18      1.00
upper_tri_cov_1[33]     -0.22      0.12     -0.20     -0.46     -0.07     14.57      1.16
upper_tri_cov_1[34]     -0.04      0.09     -0.04     -0.15      0.12     22.18      1.01
upper_tri_cov_1[35]     -0.25      0.09     -0.24     -0.38     -0.11     85.77      1.01
 upper_tri_cov_2[0]     -0.14      0.09     -0.14     -0.25      0.01     33.17      1.01
 upper_tri_cov_2[1]      0.09      0.08      0.10     -0.05      0.18     28.62      0.99
 upper_tri_cov_2[2]     -0.02      0.08     -0.02     -0.13      0.09     24.84      1.08
 upper_tri_cov_2[3]     -0.09      0.10     -0.12     -0.23      0.07     20.52      1.17
 upper_tri_cov_2[4]     -0.01      0.07      0.01     -0.17      0.08     65.62      0.99
 upper_tri_cov_2[5]      0.03      0.09      0.05     -0.12      0.15     57.52      1.02
 upper_tri_cov_2[6]     -0.01      0.10     -0.01     -0.18      0.12     60.95      0.99
 upper_tri_cov_2[7]     -0.06      0.09     -0.08     -0.18      0.13     19.35      1.02
 upper_tri_cov_2[8]     -0.20      0.09     -0.19     -0.38     -0.09     25.48      1.00
 upper_tri_cov_2[9]      0.07      0.09      0.07     -0.08      0.21      9.44      0.99
upper_tri_cov_2[10]      0.04      0.09      0.04     -0.12      0.21     38.82      0.99
upper_tri_cov_2[11]      0.17      0.08      0.17      0.06      0.31     19.97      1.00
upper_tri_cov_2[12]     -0.01      0.10     -0.01     -0.18      0.14     22.67      1.00
upper_tri_cov_2[13]      0.02      0.10      0.02     -0.15      0.16     38.14      1.00
upper_tri_cov_2[14]     -0.02      0.07     -0.02     -0.12      0.11     38.12      1.09
upper_tri_cov_2[15]     -0.30      0.14     -0.31     -0.55     -0.09     12.10      1.04
upper_tri_cov_2[16]     -0.03      0.09     -0.04     -0.17      0.12     24.89      1.09
upper_tri_cov_2[17]      0.03      0.09      0.03     -0.08      0.18     56.83      1.03
upper_tri_cov_2[18]     -0.00      0.10     -0.02     -0.15      0.15     16.03      1.06
upper_tri_cov_2[19]      0.00      0.09      0.00     -0.18      0.13     69.99      0.99
upper_tri_cov_2[20]      0.03      0.09      0.04     -0.12      0.17     15.00      0.99
upper_tri_cov_2[21]     -0.05      0.09     -0.07     -0.17      0.10     29.79      1.00
upper_tri_cov_2[22]      0.20      0.08      0.21      0.08      0.34     29.40      1.00
upper_tri_cov_2[23]     -0.19      0.09     -0.19     -0.34     -0.04     41.49      1.00
upper_tri_cov_2[24]      0.03      0.07      0.03     -0.07      0.15    118.16      0.99
upper_tri_cov_2[25]     -0.05      0.11     -0.07     -0.19      0.11     43.37      1.00
upper_tri_cov_2[26]     -0.05      0.08     -0.04     -0.18      0.05     16.54      0.99
upper_tri_cov_2[27]     -0.01      0.09     -0.00     -0.15      0.09      9.23      1.36
upper_tri_cov_2[28]     -0.05      0.06     -0.06     -0.14      0.06     28.48      1.02
upper_tri_cov_2[29]      0.04      0.11      0.06     -0.15      0.21     24.93      1.03
upper_tri_cov_2[30]     -0.18      0.15     -0.17     -0.43      0.07     12.90      1.11
upper_tri_cov_2[31]     -0.06      0.10     -0.04     -0.23      0.09     15.14      1.20
upper_tri_cov_2[32]      0.02      0.08      0.01     -0.11      0.15     27.77      0.99
upper_tri_cov_2[33]     -0.21      0.09     -0.20     -0.39     -0.10     62.70      0.99
upper_tri_cov_2[34]      0.03      0.09      0.03     -0.13      0.16     20.77      1.05
upper_tri_cov_2[35]     -0.18      0.08     -0.20     -0.30     -0.04     59.41      0.99
 upper_tri_cov_3[0]     -0.68      0.12     -0.68     -0.85     -0.49     24.97      1.00
 upper_tri_cov_3[1]      0.02      0.10      0.01     -0.13      0.19     18.62      1.05
 upper_tri_cov_3[2]      0.04      0.11      0.05     -0.14      0.20     47.62      1.01
 upper_tri_cov_3[3]     -0.12      0.09     -0.12     -0.26      0.01      9.66      1.04
 upper_tri_cov_3[4]      0.01      0.09     -0.01     -0.12      0.13     18.13      1.03
 upper_tri_cov_3[5]     -0.03      0.09     -0.03     -0.18      0.06     38.48      1.07
 upper_tri_cov_3[6]     -0.05      0.08     -0.04     -0.17      0.09     79.85      1.00
 upper_tri_cov_3[7]      0.00      0.08     -0.01     -0.12      0.11     57.41      1.04
 upper_tri_cov_3[8]     -0.62      0.09     -0.63     -0.71     -0.42     93.81      1.03
 upper_tri_cov_3[9]     -0.01      0.09     -0.02     -0.16      0.10     21.46      1.03
upper_tri_cov_3[10]      0.04      0.09      0.03     -0.09      0.16     10.65      1.10
upper_tri_cov_3[11]     -0.09      0.11     -0.09     -0.27      0.05     31.91      1.01
upper_tri_cov_3[12]      0.02      0.10      0.01     -0.13      0.18     11.62      0.99
upper_tri_cov_3[13]     -0.05      0.09     -0.05     -0.22      0.07     79.27      1.00
upper_tri_cov_3[14]     -0.03      0.12     -0.03     -0.21      0.15     12.12      0.99
upper_tri_cov_3[15]     -0.66      0.09     -0.66     -0.82     -0.52     40.67      1.01
upper_tri_cov_3[16]     -0.12      0.07     -0.12     -0.23      0.00     87.73      1.01
upper_tri_cov_3[17]      0.03      0.13     -0.01     -0.17      0.25     37.37      0.99
upper_tri_cov_3[18]     -0.02      0.11     -0.01     -0.20      0.13     20.61      1.01
upper_tri_cov_3[19]      0.04      0.09      0.02     -0.10      0.17     26.28      1.00
upper_tri_cov_3[20]     -0.01      0.11     -0.02     -0.17      0.14     13.86      1.19
upper_tri_cov_3[21]     -0.17      0.06     -0.17     -0.26     -0.04     77.32      1.00
upper_tri_cov_3[22]     -0.19      0.08     -0.21     -0.30     -0.05     11.44      1.03
upper_tri_cov_3[23]      0.16      0.07      0.16      0.02      0.24     12.16      1.14
upper_tri_cov_3[24]      0.01      0.08      0.01     -0.12      0.13     26.18      1.02
upper_tri_cov_3[25]      0.05      0.08      0.05     -0.07      0.19     35.71      1.01
upper_tri_cov_3[26]     -0.63      0.09     -0.64     -0.75     -0.48     26.21      1.07
upper_tri_cov_3[27]      0.03      0.08      0.04     -0.13      0.15     38.92      1.00
upper_tri_cov_3[28]     -0.02      0.12     -0.02     -0.18      0.16     12.69      1.02
upper_tri_cov_3[29]      0.01      0.10      0.00     -0.14      0.16     22.37      1.07
upper_tri_cov_3[30]     -0.64      0.09     -0.64     -0.74     -0.44     12.49      1.11
upper_tri_cov_3[31]     -0.01      0.08     -0.02     -0.12      0.12     26.62      1.00
upper_tri_cov_3[32]     -0.03      0.09     -0.01     -0.18      0.10     70.85      1.01
upper_tri_cov_3[33]     -0.63      0.09     -0.63     -0.77     -0.47     62.05      1.00
upper_tri_cov_3[34]      0.05      0.10      0.05     -0.12      0.20     11.89      1.19
upper_tri_cov_3[35]     -0.68      0.14     -0.65     -0.97     -0.55     10.44      1.08

Number of divergences: 94
