,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,82156636,1e-05
1,20.0,0.0,-12.577291125253183,82156636,1e-05
2,30.0,0.0,-1.0,82156636,1e-05
3,0.0,0.0,-39.0,77086540,1e-05
4,20.0,0.0,-27.22190910026856,77086540,1e-05
5,40.0,0.0,-15.999999999999993,77086540,1e-05
6,0.0,0.0,-61.0,84863595,1e-05
7,20.0,0.0,-52.708433524161734,84863595,1e-05
8,60.0,0.0,-27.0,84863595,1e-05
9,0.0,0.0,-72.0,6931701,1e-05
10,30.0,0.0,-55.5,6931701,1e-05
11,60.0,0.0,-39.0,6931701,1e-05
12,20.0,0.0,-74.77168736773433,4452083,1e-05
13,60.0,0.0,-52.0,4452083,1e-05
14,70.0,0.0,-77.0,46031242,1e-05
15,80.0,0.0,-71.0,46031242,1e-05
