,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,71941125,1e-05
1,20.0,0.0,-13.025713565047432,71941125,1e-05
2,30.0,0.0,-1.0,71941125,1e-05
3,0.0,0.0,-39.0,57683011,1e-05
4,20.0,0.0,-28.05319308592376,57683011,1e-05
5,40.0,0.0,-15.999999999999993,57683011,1e-05
6,0.0,0.0,-61.0,56437721,1e-05
7,20.0,0.0,-50.81341654904345,56437721,1e-05
8,60.0,0.0,-27.0,56437721,1e-05
9,0.0,0.0,-72.0,18282605,1e-05
10,30.0,0.0,-55.5,18282605,1e-05
11,60.0,0.0,-39.0,18282605,1e-05
12,20.0,0.0,-75.45854902846233,48478464,1e-05
13,60.0,0.0,-52.0,48478464,1e-05
14,70.0,0.0,-77.0,93599749,1e-05
15,80.0,0.0,-71.0,93599749,1e-05
