,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,16237085,1e-05
1,20.0,0.0,-10.70323932669043,16237085,1e-05
2,30.0,0.0,-1.0,16237085,1e-05
3,0.0,0.0,-39.0,48316364,1e-05
4,20.0,0.0,-15.748039509093232,48316364,1e-05
5,40.0,0.0,-15.999999999999993,48316364,1e-05
6,0.0,0.0,-61.0,23509497,1e-05
7,20.0,0.0,-48.97055954087351,23509497,1e-05
8,60.0,0.0,-27.0,23509497,1e-05
9,0.0,0.0,-72.0,30911225,1e-05
10,30.0,0.0,-55.5,30911225,1e-05
11,60.0,0.0,-39.0,30911225,1e-05
12,20.0,0.0,-74.5445739845981,15930330,1e-05
13,60.0,0.0,-52.0,15930330,1e-05
14,70.0,0.0,-77.0,37323155,1e-05
15,80.0,0.0,-71.0,37323155,1e-05
