,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,12463748,1e-05
1,20.0,0.0,-12.942727060942346,12463748,1e-05
2,30.0,0.0,-1.0,12463748,1e-05
3,0.0,0.0,-39.0,76839404,1e-05
4,20.0,0.0,-29.183961792698057,76839404,1e-05
5,40.0,0.0,-15.999999999999993,76839404,1e-05
6,0.0,0.0,-61.0,37011525,1e-05
7,20.0,0.0,-50.949622483887154,37011525,1e-05
8,60.0,0.0,-27.0,37011525,1e-05
9,0.0,0.0,-72.0,66724999,1e-05
10,30.0,0.0,-55.5,66724999,1e-05
11,60.0,0.0,-39.0,66724999,1e-05
12,20.0,0.0,-76.03956558507672,51533764,1e-05
13,60.0,0.0,-52.0,51533764,1e-05
14,70.0,0.0,-77.0,19442174,1e-05
15,80.0,0.0,-71.0,19442174,1e-05
