,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,94843597,1e-05
1,20.0,0.0,-13.220812509753031,94843597,1e-05
2,30.0,0.0,-1.0,94843597,1e-05
3,0.0,0.0,-39.0,64872298,1e-05
4,20.0,0.0,-28.22670439436115,64872298,1e-05
5,40.0,0.0,-15.999999999999993,64872298,1e-05
6,0.0,0.0,-61.0,75328813,1e-05
7,20.0,0.0,-50.93371697518176,75328813,1e-05
8,60.0,0.0,-27.0,75328813,1e-05
9,0.0,0.0,-72.0,96330516,1e-05
10,30.0,0.0,-55.5,96330516,1e-05
11,60.0,0.0,-39.0,96330516,1e-05
12,20.0,0.0,-75.91794058998848,18159812,1e-05
13,60.0,0.0,-52.0,18159812,1e-05
14,70.0,0.0,-77.0,11707407,1e-05
15,80.0,0.0,-71.0,11707407,1e-05
