
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]     -6.85      0.01     -6.85     -6.88     -6.84    137.82      1.00
mean_data1[1]     -0.65      0.02     -0.65     -0.68     -0.61    160.14      0.99
mean_data1[2]     -0.29      0.02     -0.29     -0.32     -0.27    179.97      1.00
mean_data1[3]      0.04      0.01      0.04      0.02      0.05    192.81      0.99
mean_data1[4]     -0.00      0.00     -0.00     -0.01      0.00    123.70      1.01
mean_data1[5]     -0.01      0.01     -0.01     -0.02      0.00    149.75      1.00
mean_data1[6]      0.01      0.01      0.01     -0.01      0.03    106.70      0.99
mean_data1[7]     -0.00      0.00     -0.00     -0.01      0.00    111.58      0.99
mean_data1[8]      0.00      0.00      0.00     -0.00      0.01     86.04      1.03
mean_data1[9]      0.00      0.01      0.00     -0.01      0.02    183.87      1.00
mean_data2[0]      4.12      0.02      4.12      4.09      4.15     44.84      1.04
mean_data2[1]     -0.52      0.01     -0.52     -0.54     -0.50    157.28      1.00
mean_data2[2]     -0.18      0.01     -0.18     -0.18     -0.17    148.55      1.01
mean_data2[3]     -0.22      0.03     -0.22     -0.29     -0.18    161.49      0.99
mean_data2[4]      0.04      0.03      0.05     -0.00      0.09    126.94      0.99
mean_data2[5]      0.00      0.01      0.00     -0.01      0.01    127.18      1.00
mean_data2[6]     -0.01      0.01     -0.01     -0.03      0.01    130.24      0.99
mean_data2[7]     -0.01      0.01     -0.01     -0.03      0.01    109.14      1.00
mean_data2[8]      0.00      0.01      0.00     -0.01      0.02    216.64      0.99
mean_data2[9]     -0.01      0.01     -0.01     -0.02      0.00    148.88      1.03
mean_data3[0]      3.27      0.06      3.28      3.17      3.36     12.17      1.00
mean_data3[1]     -0.22      0.02     -0.22     -0.25     -0.19     11.56      1.00
mean_data3[2]      0.08      0.01      0.08      0.06      0.10     14.19      1.01
mean_data3[3]      0.14      0.01      0.14      0.13      0.16     14.48      1.00
mean_data3[4]     -0.04      0.02     -0.04     -0.06     -0.01     14.33      1.00
mean_data3[5]      0.01      0.01      0.01     -0.00      0.01     48.82      1.01
mean_data3[6]      0.00      0.01      0.00     -0.01      0.01     41.81      1.03
mean_data3[7]      0.01      0.01      0.01     -0.00      0.03     49.24      1.00
mean_data3[8]     -0.00      0.01     -0.00     -0.01      0.01     84.83      0.99
mean_data3[9]      0.00      0.00      0.00     -0.00      0.01    119.89      1.00
mean_data4[0]     -0.69      0.06     -0.70     -0.81     -0.60    150.49      1.00
mean_data4[1]      0.56      0.01      0.55      0.54      0.57    216.81      1.00
mean_data4[2]      0.57      0.01      0.57      0.55      0.58    522.21      0.99
mean_data4[3]      0.04      0.01      0.04      0.02      0.05    328.64      1.00
mean_data4[4]      0.06      0.02      0.06      0.03      0.09    574.42      0.99
mean_data4[5]     -0.00      0.02     -0.00     -0.03      0.02    169.92      0.99
mean_data4[6]      0.01      0.01      0.00     -0.01      0.02    180.34      0.99
mean_data4[7]     -0.02      0.01     -0.02     -0.03      0.00    158.63      1.00
mean_data4[8]      0.01      0.01      0.01     -0.01      0.02    219.59      1.00
mean_data4[9]      0.01      0.01      0.01     -0.00      0.02    283.71      0.99
mean_data5[0]     -2.85      0.27     -2.86     -3.29     -2.47     84.62      1.00
mean_data5[1]      0.50      0.02      0.50      0.48      0.53     84.35      0.99
mean_data5[2]      0.41      0.02      0.41      0.38      0.45    167.76      1.01
mean_data5[3]     -0.11      0.02     -0.11     -0.13     -0.08    118.70      0.99
mean_data5[4]     -0.01      0.01     -0.01     -0.03      0.01     94.82      0.99
mean_data5[5]     -0.00      0.03     -0.00     -0.04      0.04     89.83      0.99
mean_data5[6]     -0.01      0.02     -0.01     -0.04      0.01     85.81      1.00
mean_data5[7]      0.01      0.01      0.01     -0.00      0.02    137.56      1.00
mean_data5[8]     -0.01      0.01     -0.01     -0.02      0.00    113.28      0.99
mean_data5[9]     -0.01      0.01     -0.01     -0.03     -0.00    118.36      0.99
mean_data6[0]     -6.64      0.79     -6.65     -7.85     -5.54      5.62      1.03
mean_data6[1]      1.88      0.13      1.88      1.67      2.09     22.57      1.11
mean_data6[2]      0.41      0.21      0.41      0.10      0.72     14.60      1.00
mean_data6[3]     -0.29      0.16     -0.29     -0.53     -0.00     18.46      1.05
mean_data6[4]      0.84      0.25      0.78      0.46      1.24     12.24      0.99
mean_data6[5]      0.42      0.32      0.35     -0.17      0.92      9.62      1.05
mean_data6[6]      0.05      0.27     -0.02     -0.37      0.45     10.87      1.02
mean_data6[7]     -0.01      0.31      0.03     -0.47      0.54     20.30      1.20
mean_data6[8]     -0.27      0.17     -0.28     -0.51      0.04     17.68      1.00
mean_data6[9]     -0.32      0.13     -0.32     -0.48     -0.08     23.54      1.00
         mu_1      3.04      0.06      3.03      2.95      3.13     30.13      1.01
         mu_2      2.29      0.05      2.31      2.21      2.34     14.82      1.00
         mu_3      1.15      0.05      1.15      1.08      1.23     25.00      1.01
         mu_4     -0.10      0.04     -0.09     -0.16     -0.03     20.23      1.00

Number of divergences: 0
