
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]      6.85      0.01      6.85      6.84      6.87    153.13      1.00
mean_data1[1]     -0.65      0.02     -0.65     -0.68     -0.62     98.83      1.01
mean_data1[2]      0.29      0.02      0.29      0.27      0.32    114.45      1.01
mean_data1[3]     -0.04      0.01     -0.04     -0.06     -0.03     99.95      1.02
mean_data1[4]     -0.00      0.00     -0.00     -0.01      0.00    156.88      1.00
mean_data1[5]      0.01      0.01      0.01     -0.00      0.02     91.92      0.99
mean_data1[6]     -0.01      0.01     -0.01     -0.02      0.01    108.11      1.01
mean_data1[7]      0.00      0.00      0.00     -0.00      0.01    129.93      1.00
mean_data2[0]     -4.11      0.01     -4.12     -4.13     -4.09    116.83      1.00
mean_data2[1]     -0.52      0.01     -0.52     -0.54     -0.50    215.06      1.00
mean_data2[2]      0.17      0.00      0.17      0.17      0.18    163.30      1.00
mean_data2[3]      0.22      0.03      0.22      0.17      0.27    208.72      1.00
mean_data2[4]      0.04      0.03      0.04      0.00      0.08    136.87      0.99
mean_data2[5]      0.00      0.01      0.00     -0.01      0.01    129.03      1.00
mean_data2[6]      0.01      0.01      0.01     -0.01      0.02    161.40      0.99
mean_data2[7]      0.01      0.01      0.01     -0.01      0.03    141.92      0.99
mean_data3[0]     -3.19      0.11     -3.19     -3.36     -3.02      3.74      1.69
mean_data3[1]     -0.19      0.04     -0.19     -0.25     -0.13      3.82      1.68
mean_data3[2]     -0.10      0.02     -0.10     -0.13     -0.06      3.80      1.64
mean_data3[3]     -0.14      0.01     -0.14     -0.16     -0.12      3.92      1.76
mean_data3[4]     -0.05      0.02     -0.05     -0.08     -0.02      6.79      1.44
mean_data3[5]     -0.01      0.01     -0.01     -0.02      0.00     63.84      1.00
mean_data3[6]     -0.00      0.01     -0.00     -0.01      0.01     49.99      1.01
mean_data3[7]     -0.01      0.01     -0.01     -0.02      0.01     39.96      1.03
mean_data4[0]      0.69      0.06      0.69      0.60      0.78    140.04      0.99
mean_data4[1]      0.55      0.01      0.55      0.54      0.57    111.73      1.00
mean_data4[2]     -0.57      0.01     -0.57     -0.58     -0.56    108.31      1.01
mean_data4[3]     -0.04      0.01     -0.04     -0.06     -0.03    141.23      1.00
mean_data4[4]      0.07      0.02      0.07      0.03      0.09    114.62      1.03
mean_data4[5]      0.01      0.01      0.00     -0.02      0.02    207.71      0.99
mean_data4[6]     -0.00      0.01     -0.00     -0.02      0.01    252.82      1.00
mean_data4[7]      0.02      0.01      0.01      0.00      0.04    153.26      0.99
mean_data5[0]      2.84      0.25      2.86      2.41      3.18     57.05      1.04
mean_data5[1]      0.51      0.02      0.51      0.48      0.53     60.39      1.02
mean_data5[2]     -0.41      0.02     -0.41     -0.44     -0.38    116.60      1.01
mean_data5[3]      0.11      0.01      0.11      0.09      0.13     72.32      1.00
mean_data5[4]     -0.01      0.01     -0.01     -0.03      0.01     67.33      1.00
mean_data5[5]      0.00      0.02      0.00     -0.04      0.04     60.55      1.02
mean_data5[6]      0.01      0.02      0.01     -0.01      0.04     58.96      1.04
mean_data5[7]     -0.01      0.01     -0.00     -0.02      0.00     87.81      1.00
mean_data6[0]      4.80      1.57      4.87      2.32      7.19      3.15      1.98
mean_data6[1]      1.77      0.12      1.76      1.59      1.91      5.54      1.46
mean_data6[2]     -0.02      0.34     -0.02     -0.56      0.51      4.02      1.63
mean_data6[3]      0.24      0.10      0.22      0.12      0.44     36.40      1.08
mean_data6[4]      0.61      0.31      0.58      0.23      1.30      3.90      1.65
mean_data6[5]     -0.36      0.24     -0.33     -0.74     -0.03      4.54      1.46
mean_data6[6]     -0.09      0.18     -0.09     -0.30      0.23      5.89      1.31
mean_data6[7]     -0.02      0.26     -0.03     -0.38      0.43     16.14      1.04
         mu_1      3.07      0.07      3.09      2.95      3.17     15.31      1.13
         mu_2      2.25      0.06      2.25      2.16      2.33     16.15      0.99
         mu_3      1.15      0.05      1.15      1.07      1.23     22.77      1.10
         mu_4     -0.10      0.05     -0.11     -0.18     -0.02     13.36      1.00

Number of divergences: 17
