,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,15299446,1e-05
1,20.0,0.0,-10.772761602123687,15299446,1e-05
2,30.0,0.0,-1.0,15299446,1e-05
3,0.0,0.0,-39.0,42843821,1e-05
4,20.0,0.0,-18.306714416706143,42843821,1e-05
5,40.0,0.0,-15.999999999999993,42843821,1e-05
6,0.0,0.0,-61.0,57089649,1e-05
7,20.0,0.0,-39.9333560145608,57089649,1e-05
8,60.0,0.0,-27.0,57089649,1e-05
9,0.0,0.0,-72.0,36154865,1e-05
10,30.0,0.0,-55.5,36154865,1e-05
11,60.0,0.0,-39.0,36154865,1e-05
12,20.0,0.0,-74.44802880861326,82270938,1e-05
13,60.0,0.0,-52.0,82270938,1e-05
14,70.0,0.0,-77.0,20566525,1e-05
15,80.0,0.0,-71.0,20566525,1e-05
