
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
mean_data1[0]      3.72      0.00      3.72      3.72      3.72    206.80      0.99
mean_data1[1]      0.46      0.00      0.46      0.46      0.46    125.62      1.03
mean_data1[2]     -0.38      0.00     -0.38     -0.39     -0.38    664.96      1.00
mean_data1[3]      0.13      0.00      0.13      0.13      0.14    277.09      1.00
mean_data1[4]     -0.03      0.00     -0.03     -0.03     -0.03    230.74      0.99
mean_data1[5]     -0.08      0.00     -0.08     -0.08     -0.08    324.34      1.00
mean_data1[6]      0.06      0.00      0.06      0.06      0.07    249.98      0.99
mean_data1[7]     -0.02      0.00     -0.02     -0.02     -0.02    204.72      0.99
mean_data2[0]      1.05      0.00      1.05      1.05      1.05    193.81      0.99
mean_data2[1]      0.56      0.00      0.56      0.55      0.56    260.53      1.01
mean_data2[2]     -0.53      0.00     -0.53     -0.53     -0.52    310.07      1.00
mean_data2[3]      0.00      0.00      0.00      0.00      0.00    479.38      1.00
mean_data2[4]      0.05      0.00      0.05      0.05      0.05    347.56      1.00
mean_data2[5]      0.04      0.00      0.04      0.04      0.04    267.50      1.00
mean_data2[6]     -0.02      0.00     -0.02     -0.02     -0.02    173.03      1.00
mean_data2[7]      0.01      0.00      0.01      0.01      0.01    290.90      0.99
mean_data3[0]     -3.92      0.00     -3.92     -3.92     -3.92    117.76      0.99
mean_data3[1]     -0.44      0.00     -0.44     -0.44     -0.44    175.40      1.01
mean_data3[2]      0.10      0.00      0.10      0.09      0.10    209.28      1.00
mean_data3[3]      0.02      0.00      0.02      0.02      0.02    396.39      0.99
mean_data3[4]      0.03      0.00      0.03      0.02      0.03    423.65      1.00
mean_data3[5]     -0.00      0.00     -0.00     -0.01     -0.00    260.26      0.99
mean_data3[6]      0.01      0.00      0.01      0.01      0.01    288.73      0.99
mean_data3[7]      0.00      0.00      0.00      0.00      0.00    230.61      1.00
mean_data4[0]     -2.69      0.00     -2.69     -2.69     -2.69    241.61      0.99
mean_data4[1]     -0.03      0.00     -0.03     -0.03     -0.02    315.28      0.99
mean_data4[2]     -0.20      0.00     -0.20     -0.21     -0.20    257.32      0.99
mean_data4[3]     -0.09      0.00     -0.09     -0.09     -0.08    301.16      1.00
mean_data4[4]     -0.11      0.00     -0.11     -0.11     -0.11    179.48      1.01
mean_data4[5]     -0.00      0.00     -0.00     -0.01     -0.00    540.71      1.00
mean_data4[6]     -0.02      0.00     -0.02     -0.02     -0.02    235.60      0.99
mean_data4[7]     -0.01      0.00     -0.01     -0.01     -0.01    268.26      0.99
mean_data5[0]     -0.73      0.00     -0.73     -0.73     -0.73    207.72      0.99
mean_data5[1]      1.44      0.00      1.44      1.44      1.44    250.67      1.01
mean_data5[2]      1.07      0.00      1.07      1.07      1.07    752.88      1.00
mean_data5[3]     -0.01      0.00     -0.01     -0.01     -0.01    282.97      0.99
mean_data5[4]      0.00      0.00      0.00      0.00      0.00    286.59      0.99
mean_data5[5]      0.00      0.00      0.00     -0.00      0.00    267.61      0.99
mean_data5[6]     -0.01      0.00     -0.01     -0.01     -0.01    212.35      1.01
mean_data5[7]     -0.00      0.00     -0.00     -0.00      0.00    555.10      1.00
mean_data6[0]      6.85      0.00      6.85      6.85      6.85    527.67      0.99
mean_data6[1]     -0.65      0.00     -0.65     -0.66     -0.65    159.28      1.00
mean_data6[2]      0.29      0.00      0.29      0.29      0.29    211.13      1.03
mean_data6[3]     -0.04      0.00     -0.04     -0.04     -0.04    638.00      0.99
mean_data6[4]     -0.00      0.00     -0.00     -0.00     -0.00    188.22      1.01
mean_data6[5]      0.01      0.00      0.01      0.01      0.01    435.83      0.99
mean_data6[6]     -0.01      0.00     -0.01     -0.01     -0.01    603.82      0.99
mean_data6[7]      0.00      0.00      0.00      0.00      0.00    295.50      1.00
         mu_1      3.16      0.02      3.17      3.13      3.19     14.60      1.01
         mu_2      2.74      0.12      2.79      2.44      2.80      7.23      1.16
         mu_3      1.64      0.16      1.69      1.28      1.71      7.35      1.15
         mu_4     -0.03      0.03     -0.02     -0.07      0.00     13.73      1.08

Number of divergences: 0
