
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.08      0.44      0.32      0.57     77.82      0.99
cov_eigen_values_1[1]      0.12      0.02      0.11      0.09      0.15     62.37      1.04
cov_eigen_values_1[2]      0.08      0.01      0.08      0.06      0.10     46.54      1.00
cov_eigen_values_1[3]      0.07      0.01      0.07      0.05      0.09     60.11      1.04
cov_eigen_values_1[4]      0.04      0.01      0.04      0.03      0.05     53.16      1.08
cov_eigen_values_1[5]      0.04      0.01      0.04      0.03      0.06    134.28      1.00
cov_eigen_values_1[6]      0.03      0.01      0.03      0.02      0.04     95.80      1.00
cov_eigen_values_1[7]      0.02      0.01      0.02      0.02      0.03     64.02      0.99
cov_eigen_values_1[8]      0.01      0.00      0.01      0.01      0.02     56.28      1.02
cov_eigen_values_1[9]      0.01      0.00      0.01      0.01      0.02    105.93      1.00
cov_eigen_values_2[0]      0.58      0.06      0.57      0.47      0.68     47.88      1.02
cov_eigen_values_2[1]      0.06      0.01      0.06      0.04      0.07     45.84      1.09
cov_eigen_values_2[2]      0.07      0.01      0.07      0.06      0.08    132.84      1.01
cov_eigen_values_2[3]      0.06      0.01      0.06      0.05      0.08     72.27      0.99
cov_eigen_values_2[4]      0.06      0.01      0.06      0.05      0.07     71.00      0.99
cov_eigen_values_2[5]      0.06      0.01      0.06      0.04      0.07     50.91      1.04
cov_eigen_values_2[6]      0.04      0.00      0.04      0.03      0.04     61.82      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04    107.58      0.99
cov_eigen_values_2[8]      0.02      0.00      0.02      0.02      0.03     67.53      1.02
cov_eigen_values_2[9]      0.02      0.00      0.02      0.02      0.03    131.75      1.00
cov_eigen_values_3[0]      0.27      0.03      0.27      0.22      0.31     55.33      1.01
cov_eigen_values_3[1]      0.24      0.02      0.24      0.20      0.27    115.95      1.00
cov_eigen_values_3[2]      0.12      0.01      0.12      0.10      0.13    104.93      1.00
cov_eigen_values_3[3]      0.07      0.01      0.07      0.06      0.08     86.81      1.00
cov_eigen_values_3[4]      0.05      0.00      0.05      0.04      0.06     69.58      1.00
cov_eigen_values_3[5]      0.02      0.00      0.02      0.02      0.02     64.97      0.99
cov_eigen_values_3[6]      0.03      0.00      0.02      0.02      0.03     95.75      1.00
cov_eigen_values_3[7]      0.05      0.00      0.05      0.04      0.05     52.58      1.03
cov_eigen_values_3[8]      0.06      0.00      0.06      0.05      0.06     74.11      1.00
cov_eigen_values_3[9]      0.06      0.00      0.06      0.05      0.06    100.53      0.99
cov_eigen_values_4[0]      0.17      0.03      0.16      0.13      0.21     47.64      1.00
cov_eigen_values_4[1]      0.06      0.01      0.06      0.05      0.08     52.06      1.04
cov_eigen_values_4[2]      0.05      0.01      0.05      0.04      0.06    138.01      0.99
cov_eigen_values_4[3]      0.09      0.01      0.08      0.07      0.10     50.94      0.99
cov_eigen_values_4[4]      0.06      0.01      0.06      0.05      0.08     35.15      1.03
cov_eigen_values_4[5]      0.03      0.01      0.03      0.02      0.04     65.35      1.01
cov_eigen_values_4[6]      0.04      0.01      0.04      0.03      0.04     54.94      1.01
cov_eigen_values_4[7]      0.02      0.00      0.01      0.01      0.02     74.80      0.99
cov_eigen_values_4[8]      0.02      0.00      0.02      0.02      0.03    102.69      1.00
cov_eigen_values_4[9]      0.03      0.00      0.03      0.02      0.03     54.88      1.04
cov_eigen_values_5[0]      0.62      0.16      0.58      0.41      0.80     51.88      0.99
cov_eigen_values_5[1]      0.04      0.01      0.03      0.02      0.05     77.18      1.03
cov_eigen_values_5[2]      0.11      0.02      0.10      0.08      0.14     80.97      1.00
cov_eigen_values_5[3]      0.07      0.01      0.07      0.05      0.09     81.95      1.00
cov_eigen_values_5[4]      0.07      0.02      0.07      0.05      0.10     27.11      1.06
cov_eigen_values_5[5]      0.04      0.01      0.04      0.03      0.05     93.95      1.00
cov_eigen_values_5[6]      0.04      0.01      0.04      0.03      0.05     84.24      1.00
cov_eigen_values_5[7]      0.02      0.00      0.02      0.01      0.02     36.68      1.04
cov_eigen_values_5[8]      0.01      0.00      0.01      0.01      0.01     83.46      1.01
cov_eigen_values_5[9]      0.01      0.00      0.01      0.00      0.01     70.69      1.00
cov_eigen_values_6[0]      0.03      0.00      0.03      0.02      0.03     86.93      0.99
cov_eigen_values_6[1]      0.14      0.02      0.14      0.11      0.17     92.52      0.99
cov_eigen_values_6[2]      0.05      0.01      0.05      0.04      0.06     93.73      1.00
cov_eigen_values_6[3]      0.03      0.00      0.03      0.02      0.03     89.93      1.00
cov_eigen_values_6[4]      0.02      0.00      0.02      0.02      0.03     39.78      0.99
cov_eigen_values_6[5]      0.02      0.00      0.02      0.02      0.02     32.25      1.02
cov_eigen_values_6[6]      0.01      0.00      0.01      0.01      0.01     65.24      1.00
cov_eigen_values_6[7]      0.02      0.00      0.02      0.01      0.02     80.33      1.01
cov_eigen_values_6[8]      0.01      0.00      0.01      0.01      0.01     44.78      1.05
cov_eigen_values_6[9]      0.01      0.00      0.01      0.01      0.01    108.20      0.99
       mean_data_1[0]     -3.72      0.12     -3.72     -3.90     -3.52     33.82      0.99
       mean_data_1[1]      0.46      0.02      0.46      0.43      0.50     40.21      1.00
       mean_data_1[2]      0.38      0.02      0.38      0.34      0.40     61.19      0.99
       mean_data_1[3]     -0.13      0.02     -0.13     -0.16     -0.10     49.60      1.03
       mean_data_1[4]     -0.04      0.01     -0.04     -0.05     -0.01     66.36      1.03
       mean_data_1[5]      0.08      0.01      0.08      0.07      0.09     52.23      1.06
       mean_data_1[6]     -0.06      0.01     -0.06     -0.08     -0.05     84.31      0.99
       mean_data_1[7]      0.02      0.01      0.01      0.01      0.03     98.58      1.02
       mean_data_1[8]     -0.01      0.01     -0.01     -0.03     -0.00     85.01      0.99
       mean_data_1[9]      0.00      0.01      0.00     -0.00      0.01     97.18      0.99
       mean_data_2[0]     -1.06      0.08     -1.06     -1.18     -0.91     81.13      0.99
       mean_data_2[1]      0.56      0.01      0.56      0.54      0.58     56.64      1.00
       mean_data_2[2]      0.53      0.01      0.53      0.51      0.55     70.93      1.00
       mean_data_2[3]     -0.00      0.01     -0.00     -0.01      0.01    119.58      0.99
       mean_data_2[4]      0.05      0.01      0.05      0.03      0.06     67.82      1.01
       mean_data_2[5]     -0.04      0.01     -0.04     -0.06     -0.03    126.79      0.99
       mean_data_2[6]      0.02      0.01      0.02      0.01      0.03    120.39      1.01
       mean_data_2[7]     -0.01      0.01     -0.01     -0.02     -0.00    109.55      1.01
       mean_data_2[8]      0.00      0.01      0.00     -0.01      0.01    109.25      1.02
       mean_data_2[9]     -0.01      0.01     -0.01     -0.01      0.01     61.55      1.01
       mean_data_3[0]      3.91      0.04      3.91      3.83      3.97     37.85      1.04
       mean_data_3[1]     -0.44      0.02     -0.43     -0.46     -0.41     31.96      1.05
       mean_data_3[2]     -0.09      0.01     -0.09     -0.11     -0.07     44.11      1.05
       mean_data_3[3]     -0.01      0.03     -0.01     -0.05      0.03     24.70      1.14
       mean_data_3[4]      0.02      0.01      0.02      0.00      0.05     86.33      1.00
       mean_data_3[5]      0.00      0.01      0.00     -0.00      0.01     79.29      0.99
       mean_data_3[6]     -0.01      0.01     -0.01     -0.02      0.00    100.43      0.99
       mean_data_3[7]     -0.00      0.01     -0.00     -0.02      0.01     93.81      1.00
       mean_data_3[8]     -0.01      0.01     -0.01     -0.01      0.01     91.36      1.00
       mean_data_3[9]     -0.00      0.00     -0.00     -0.01      0.00     83.12      1.00
       mean_data_4[0]      2.67      0.03      2.67      2.61      2.71     99.26      1.01
       mean_data_4[1]     -0.02      0.01     -0.02     -0.04      0.01     75.89      1.00
       mean_data_4[2]      0.21      0.01      0.21      0.20      0.22     63.87      0.99
       mean_data_4[3]      0.09      0.01      0.08      0.07      0.10     40.43      1.00
       mean_data_4[4]     -0.11      0.01     -0.11     -0.13     -0.09     63.85      0.99
       mean_data_4[5]      0.01      0.01      0.01     -0.01      0.02     51.92      1.00
       mean_data_4[6]      0.02      0.01      0.02      0.00      0.04     59.11      0.99
       mean_data_4[7]      0.01      0.01      0.01     -0.00      0.03     49.46      1.00
       mean_data_4[8]      0.01      0.01      0.01      0.00      0.03     56.27      0.99
       mean_data_4[9]      0.01      0.01      0.01     -0.00      0.02     67.78      0.99
