
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.44      0.03      0.44      0.40      0.49      5.11      2.02
cov_eigen_values_1[1]      0.08      0.02      0.08      0.05      0.10      9.12      1.07
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.06     30.52      1.03
cov_eigen_values_1[3]      0.04      0.01      0.03      0.03      0.05     15.97      1.04
cov_eigen_values_1[4]      0.02      0.00      0.02      0.01      0.03     31.99      1.02
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     81.98      0.99
cov_eigen_values_1[6]      0.02      0.01      0.02      0.01      0.02     21.14      1.09
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.02     17.16      1.04
cov_eigen_values_2[0]      0.55      0.04      0.55      0.47      0.60      3.65      1.56
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.09     23.04      0.99
cov_eigen_values_2[2]      0.07      0.01      0.07      0.05      0.08     22.10      0.99
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     32.23      1.00
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     31.20      1.01
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01    115.93      1.00
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02    172.20      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.02      0.04     84.76      1.01
cov_eigen_values_3[0]      0.33      0.03      0.33      0.29      0.38      7.16      1.12
cov_eigen_values_3[1]      0.14      0.01      0.13      0.12      0.16     14.40      1.06
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    127.84      1.02
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    192.36      0.99
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     37.17      1.00
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05     64.81      1.00
cov_eigen_values_3[6]      0.07      0.01      0.06      0.06      0.08     37.25      1.06
cov_eigen_values_3[7]      0.06      0.00      0.06      0.05      0.06     70.23      1.02
cov_eigen_values_4[0]      0.21      0.02      0.21      0.18      0.25      8.56      1.19
cov_eigen_values_4[1]      0.08      0.01      0.08      0.06      0.10     17.84      0.99
cov_eigen_values_4[2]      0.05      0.01      0.05      0.04      0.06     31.30      1.01
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     44.84      1.01
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03     96.81      1.00
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00     63.99      1.02
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02    162.59      0.99
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    180.19      0.99
cov_eigen_values_5[0]      0.57      0.05      0.56      0.49      0.65      7.58      1.04
cov_eigen_values_5[1]      0.08      0.01      0.08      0.06      0.10      8.10      1.12
cov_eigen_values_5[2]      0.07      0.01      0.07      0.05      0.08     20.81      1.15
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.06     10.03      1.12
