,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,6594701,1e-05
1,20.0,0.0,-7.946481968651753,6594701,1e-05
2,30.0,0.0,-1.0,6594701,1e-05
3,0.0,0.0,-39.0,33846749,1e-05
4,20.0,0.0,-26.227456137154064,33846749,1e-05
5,40.0,0.0,-15.999999999999993,33846749,1e-05
6,0.0,0.0,-61.0,76013061,1e-05
7,20.0,0.0,-48.09794957520148,76013061,1e-05
8,60.0,0.0,-27.0,76013061,1e-05
9,0.0,0.0,-72.0,49553066,1e-05
10,30.0,0.0,-55.5,49553066,1e-05
11,60.0,0.0,-39.0,49553066,1e-05
12,20.0,0.0,-69.74748220020933,18048739,1e-05
13,60.0,0.0,-52.0,18048739,1e-05
14,70.0,0.0,-77.0,99604384,1e-05
15,80.0,0.0,-71.0,99604384,1e-05
