
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.07      0.44      0.34      0.55    608.47      1.00
cov_eigen_values_1[1]      0.01      0.00      0.01      0.01      0.02    596.72      1.01
cov_eigen_values_1[2]      0.07      0.01      0.07      0.05      0.08    593.91      1.00
cov_eigen_values_2[0]      0.68      0.06      0.67      0.58      0.78    552.33      1.01
cov_eigen_values_2[1]      0.05      0.00      0.05      0.04      0.06    804.31      1.00
cov_eigen_values_2[2]      0.03      0.00      0.03      0.03      0.04    528.36      1.00
cov_eigen_values_3[0]      0.24      0.02      0.24      0.21      0.27    650.83      1.00
cov_eigen_values_3[1]      0.02      0.00      0.02      0.02      0.02    672.14      1.00
cov_eigen_values_3[2]      0.05      0.00      0.05      0.05      0.06    898.34      1.00
cov_eigen_values_4[0]      0.23      0.03      0.23      0.19      0.28    510.57      1.01
cov_eigen_values_4[1]      0.01      0.00      0.01      0.01      0.02    549.13      1.00
cov_eigen_values_4[2]      0.04      0.00      0.03      0.03      0.04    602.18      1.00
cov_eigen_values_5[0]      0.55      0.08      0.54      0.42      0.68    571.77      1.01
cov_eigen_values_5[1]      0.01      0.00      0.01      0.01      0.01    637.31      1.00
cov_eigen_values_5[2]      0.04      0.01      0.04      0.03      0.05    564.46      1.00
cov_eigen_values_6[0]      0.12      0.01      0.12      0.10      0.14    990.28      0.99
cov_eigen_values_6[1]      0.01      0.00      0.01      0.01      0.01    518.73      1.00
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.04    630.77      1.00
       mean_data_1[0]     -3.81      0.09     -3.81     -3.94     -3.66    254.65      1.01
       mean_data_1[1]      0.43      0.01      0.43      0.41      0.45    421.29      1.01
       mean_data_1[2]      0.40      0.02      0.40      0.37      0.43    414.27      1.01
       mean_data_2[0]     -1.11      0.10     -1.11     -1.26     -0.94    499.90      1.00
       mean_data_2[1]      0.54      0.00      0.54      0.53      0.55    815.43      1.00
       mean_data_2[2]      0.54      0.01      0.54      0.53      0.56    585.68      1.00
       mean_data_3[0]      3.91      0.02      3.91      3.88      3.95    419.98      1.00
       mean_data_3[1]     -0.44      0.01     -0.44     -0.46     -0.43    509.35      1.00
       mean_data_3[2]     -0.10      0.01     -0.10     -0.12     -0.09    455.93      1.00
       mean_data_4[0]      2.70      0.03      2.70      2.65      2.75    427.25      1.00
       mean_data_4[1]     -0.03      0.01     -0.03     -0.05     -0.02    442.80      1.00
       mean_data_4[2]      0.20      0.01      0.20      0.19      0.21    544.73      1.00
       mean_data_5[0]      0.68      0.11      0.67      0.47      0.84    328.15      1.03
       mean_data_5[1]      1.48      0.01      1.48      1.47      1.50    457.23      1.02
       mean_data_5[2]     -1.01      0.02     -1.01     -1.05     -0.97    333.20      1.03
       mean_data_6[0]     -6.87      0.00     -6.87     -6.88     -6.87    842.18      1.00
       mean_data_6[1]     -0.65      0.01     -0.65     -0.67     -0.63    419.20      1.01
       mean_data_6[2]     -0.31      0.01     -0.31     -0.33     -0.29    393.17      1.01
                 mu_1      3.43      0.05      3.43      3.34      3.51    606.64      1.00
                 mu_2      2.43      0.11      2.45      2.24      2.60    113.08      1.05
                 mu_3      1.25      0.15      1.29      1.02      1.45     60.00      1.10
                 mu_4      0.27      0.05      0.26      0.19      0.35    433.06      1.02

Number of divergences: 0
