,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,81992430,1e-05
1,20.0,0.0,-5.37743995308081,81992430,1e-05
2,30.0,0.0,-1.0,81992430,1e-05
3,0.0,0.0,-39.0,55624549,1e-05
4,20.0,0.0,-25.304655735247884,55624549,1e-05
5,40.0,0.0,-15.999999999999993,55624549,1e-05
6,0.0,0.0,-61.0,80825874,1e-05
7,20.0,0.0,-49.21877630882369,80825874,1e-05
8,60.0,0.0,-27.0,80825874,1e-05
9,0.0,0.0,-72.0,59530144,1e-05
10,30.0,0.0,-55.5,59530144,1e-05
11,60.0,0.0,-39.0,59530144,1e-05
12,20.0,0.0,-68.83929819252502,90954134,1e-05
13,60.0,0.0,-52.0,90954134,1e-05
14,70.0,0.0,-77.0,93863658,1e-05
15,80.0,0.0,-71.0,93863658,1e-05
