
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.07      0.44      0.34      0.55    442.20      1.00
cov_eigen_values_1[1]      0.02      0.00      0.01      0.01      0.02    352.43      1.00
cov_eigen_values_1[2]      0.07      0.01      0.07      0.05      0.08    673.03      1.00
cov_eigen_values_2[0]      0.67      0.06      0.67      0.58      0.78    593.43      1.01
cov_eigen_values_2[1]      0.05      0.00      0.05      0.04      0.06    899.76      1.00
cov_eigen_values_2[2]      0.03      0.00      0.03      0.03      0.04    850.04      1.00
cov_eigen_values_3[0]      0.24      0.02      0.24      0.21      0.27    714.39      1.00
cov_eigen_values_3[1]      0.02      0.00      0.02      0.02      0.02    666.58      1.00
cov_eigen_values_3[2]      0.05      0.00      0.05      0.05      0.06    773.29      1.00
cov_eigen_values_4[0]      0.23      0.03      0.23      0.19      0.28    320.00      1.01
cov_eigen_values_4[1]      0.01      0.00      0.01      0.01      0.02    420.17      1.01
cov_eigen_values_4[2]      0.04      0.00      0.03      0.03      0.04    661.94      1.00
cov_eigen_values_5[0]      0.56      0.09      0.54      0.39      0.68    357.23      1.00
cov_eigen_values_5[1]      0.01      0.00      0.01      0.01      0.01    688.88      1.00
cov_eigen_values_5[2]      0.04      0.01      0.04      0.03      0.05    550.35      1.00
cov_eigen_values_6[0]      0.12      0.01      0.12      0.10      0.13    986.59      0.99
cov_eigen_values_6[1]      0.01      0.00      0.01      0.01      0.01    637.41      1.00
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.04    716.84      1.00
       mean_data_1[0]     -3.82      0.08     -3.82     -3.94     -3.68    370.02      1.00
       mean_data_1[1]      0.43      0.01      0.43      0.41      0.45    430.86      1.00
       mean_data_1[2]      0.40      0.02      0.40      0.37      0.43    539.31      1.00
       mean_data_2[0]     -1.11      0.09     -1.11     -1.26     -0.96    554.17      1.01
       mean_data_2[1]      0.54      0.00      0.54      0.53      0.55    967.22      1.00
       mean_data_2[2]      0.54      0.01      0.54      0.53      0.56    612.30      1.00
       mean_data_3[0]      3.92      0.02      3.92      3.88      3.95    602.30      1.00
       mean_data_3[1]     -0.44      0.01     -0.44     -0.46     -0.43    645.97      1.00
       mean_data_3[2]     -0.11      0.01     -0.11     -0.12     -0.09    636.75      1.00
       mean_data_4[0]      2.70      0.03      2.70      2.64      2.75    453.00      1.00
       mean_data_4[1]     -0.03      0.01     -0.03     -0.05     -0.02    460.97      1.00
       mean_data_4[2]      0.20      0.01      0.20      0.19      0.22    559.13      1.01
       mean_data_5[0]      0.68      0.11      0.68      0.48      0.85    410.02      1.01
       mean_data_5[1]      1.48      0.01      1.48      1.47      1.50    465.43      1.00
       mean_data_5[2]     -1.01      0.02     -1.01     -1.05     -0.97    410.86      1.01
       mean_data_6[0]     -6.87      0.00     -6.87     -6.88     -6.86    866.08      1.00
       mean_data_6[1]     -0.65      0.01     -0.65     -0.67     -0.63    855.70      1.00
       mean_data_6[2]     -0.31      0.01     -0.31     -0.32     -0.29    852.90      1.00
                 mu_1      3.43      0.05      3.43      3.34      3.52    464.15      1.00
                 mu_2      2.43      0.10      2.45      2.27      2.60    254.27      1.00
                 mu_3      1.24      0.14      1.26      1.03      1.44    112.97      1.02
                 mu_4      0.26      0.06      0.26      0.18      0.36    366.51      1.01

Number of divergences: 1
