
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.42      0.03      0.43      0.36      0.46      6.12      1.61
cov_eigen_values_1[1]      0.09      0.01      0.08      0.06      0.11     59.40      1.01
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.06     42.16      0.99
cov_eigen_values_1[3]      0.04      0.01      0.03      0.02      0.05     40.23      1.04
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.03     60.25      1.04
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00    107.83      1.00
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02    102.45      0.99
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    187.08      0.99
cov_eigen_values_2[0]      0.57      0.04      0.57      0.51      0.64      6.61      1.22
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.09     55.46      1.02
cov_eigen_values_2[2]      0.07      0.01      0.07      0.05      0.08     35.74      1.00
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     73.39      0.99
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     41.26      1.01
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01    114.63      0.99
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02    232.06      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04    164.60      0.99
cov_eigen_values_3[0]      0.32      0.02      0.31      0.29      0.35      8.43      1.30
cov_eigen_values_3[1]      0.14      0.01      0.13      0.12      0.16     27.18      0.99
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    105.25      1.00
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    258.30      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     44.72      1.00
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05    134.80      1.00
cov_eigen_values_3[6]      0.07      0.01      0.06      0.06      0.08     39.16      1.05
cov_eigen_values_3[7]      0.06      0.01      0.06      0.05      0.06    110.27      0.99
cov_eigen_values_4[0]      0.21      0.03      0.21      0.16      0.26     11.35      1.06
cov_eigen_values_4[1]      0.08      0.01      0.08      0.06      0.10     16.53      1.05
cov_eigen_values_4[2]      0.05      0.01      0.05      0.04      0.07     42.75      0.99
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     71.37      1.06
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03     95.86      1.00
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00    106.51      1.05
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02    215.52      1.00
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    216.27      0.99
