,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,12624459,1e-05
1,20.0,0.0,-6.53294194075886,12624459,1e-05
2,30.0,0.0,-1.0,12624459,1e-05
3,0.0,0.0,-39.0,32070808,1e-05
4,20.0,0.0,-25.736288013038426,32070808,1e-05
5,40.0,0.0,-15.999999999999993,32070808,1e-05
6,0.0,0.0,-61.0,75867283,1e-05
7,20.0,0.0,-47.534438623220595,75867283,1e-05
8,60.0,0.0,-27.0,75867283,1e-05
9,0.0,0.0,-72.0,192094,1e-05
10,30.0,0.0,-55.5,192094,1e-05
11,60.0,0.0,-39.0,192094,1e-05
12,20.0,0.0,-68.76388851213105,66431519,1e-05
13,60.0,0.0,-52.0,66431519,1e-05
14,70.0,0.0,-77.0,64406720,1e-05
15,80.0,0.0,-71.0,64406720,1e-05
