
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.07      0.44      0.35      0.56    527.06      1.01
cov_eigen_values_1[1]      0.02      0.00      0.01      0.01      0.02    773.89      1.01
cov_eigen_values_1[2]      0.07      0.01      0.07      0.05      0.08   1131.11      1.00
cov_eigen_values_2[0]      0.68      0.07      0.67      0.56      0.77    934.92      1.00
cov_eigen_values_2[1]      0.05      0.00      0.05      0.04      0.06   1817.39      1.00
cov_eigen_values_2[2]      0.03      0.00      0.03      0.03      0.04   1524.41      1.00
cov_eigen_values_3[0]      0.24      0.02      0.24      0.21      0.27    997.65      1.00
cov_eigen_values_3[1]      0.02      0.00      0.02      0.02      0.02    941.36      1.00
cov_eigen_values_3[2]      0.05      0.00      0.05      0.05      0.06   1871.71      1.00
cov_eigen_values_4[0]      0.23      0.03      0.23      0.19      0.28    737.03      1.00
cov_eigen_values_4[1]      0.01      0.00      0.01      0.01      0.02    963.72      1.00
cov_eigen_values_4[2]      0.03      0.00      0.03      0.03      0.04   1825.38      1.00
cov_eigen_values_5[0]      0.56      0.09      0.55      0.41      0.71    634.04      1.01
cov_eigen_values_5[1]      0.01      0.00      0.01      0.01      0.01    934.82      1.00
cov_eigen_values_5[2]      0.04      0.01      0.04      0.03      0.05    917.37      1.00
cov_eigen_values_6[0]      0.12      0.01      0.12      0.10      0.14   1032.29      1.00
cov_eigen_values_6[1]      0.01      0.00      0.01      0.01      0.01    917.29      1.00
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.04   1688.55      1.00
       mean_data_1[0]     -3.81      0.09     -3.80     -3.95     -3.66    602.90      1.01
       mean_data_1[1]      0.43      0.01      0.43      0.41      0.45    678.19      1.00
       mean_data_1[2]      0.40      0.02      0.40      0.37      0.43    779.35      1.01
       mean_data_2[0]     -1.10      0.09     -1.10     -1.26     -0.96    894.35      1.00
       mean_data_2[1]      0.54      0.00      0.54      0.53      0.55   1997.65      1.00
       mean_data_2[2]      0.54      0.01      0.54      0.53      0.56   1065.53      1.00
       mean_data_3[0]      3.91      0.02      3.91      3.88      3.95    465.00      1.00
       mean_data_3[1]     -0.44      0.01     -0.44     -0.46     -0.43    521.65      1.00
       mean_data_3[2]     -0.10      0.01     -0.10     -0.12     -0.09    550.06      1.01
       mean_data_4[0]      2.70      0.03      2.70      2.64      2.75    520.51      1.01
       mean_data_4[1]     -0.03      0.01     -0.03     -0.05     -0.01    548.85      1.01
       mean_data_4[2]      0.20      0.01      0.20      0.19      0.21    643.21      1.00
       mean_data_5[0]      0.68      0.11      0.68      0.51      0.86    570.47      1.01
       mean_data_5[1]      1.48      0.01      1.48      1.46      1.50    687.96      1.01
       mean_data_5[2]     -1.01      0.02     -1.01     -1.05     -0.98    622.00      1.01
       mean_data_6[0]     -6.87      0.00     -6.87     -6.88     -6.86   1305.09      1.00
       mean_data_6[1]     -0.65      0.01     -0.65     -0.67     -0.63    767.71      1.00
       mean_data_6[2]     -0.31      0.01     -0.31     -0.32     -0.29    760.00      1.00
                 mu_1      3.43      0.05      3.44      3.36      3.52    926.45      1.00
                 mu_2      2.44      0.10      2.46      2.28      2.60    355.16      1.00
                 mu_3      1.26      0.15      1.31      1.03      1.45    146.02      1.02
                 mu_4      0.27      0.05      0.26      0.18      0.34    478.47      1.01

Number of divergences: 0
