
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.07      0.44      0.34      0.55    966.54      1.00
cov_eigen_values_1[1]      0.01      0.00      0.01      0.01      0.02   1065.21      1.00
cov_eigen_values_1[2]      0.07      0.01      0.07      0.05      0.08    954.86      1.00
cov_eigen_values_2[0]      0.67      0.07      0.67      0.57      0.79    759.11      1.00
cov_eigen_values_2[1]      0.05      0.00      0.05      0.04      0.06   1864.60      1.00
cov_eigen_values_2[2]      0.03      0.00      0.03      0.03      0.04   1662.66      1.00
cov_eigen_values_3[0]      0.24      0.02      0.24      0.21      0.27   1206.84      1.00
cov_eigen_values_3[1]      0.02      0.00      0.02      0.02      0.02   1200.57      1.00
cov_eigen_values_3[2]      0.05      0.00      0.05      0.05      0.06   1569.23      1.00
cov_eigen_values_4[0]      0.23      0.03      0.23      0.19      0.28   1012.50      1.00
cov_eigen_values_4[1]      0.01      0.00      0.01      0.01      0.02    981.61      1.00
cov_eigen_values_4[2]      0.04      0.00      0.03      0.03      0.04   1729.88      1.00
cov_eigen_values_5[0]      0.56      0.09      0.54      0.41      0.68    602.88      1.00
cov_eigen_values_5[1]      0.01      0.00      0.01      0.01      0.02    906.59      1.00
cov_eigen_values_5[2]      0.04      0.01      0.04      0.03      0.05   1061.84      1.00
cov_eigen_values_6[0]      0.12      0.01      0.11      0.10      0.14   1111.86      1.00
cov_eigen_values_6[1]      0.01      0.00      0.01      0.01      0.01    998.89      1.01
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.04   1328.15      1.00
       mean_data_1[0]     -3.81      0.09     -3.81     -3.96     -3.68    739.01      1.00
       mean_data_1[1]      0.43      0.01      0.43      0.41      0.45    820.96      1.00
       mean_data_1[2]      0.40      0.02      0.40      0.37      0.42    969.78      1.00
       mean_data_2[0]     -1.11      0.09     -1.11     -1.25     -0.95    662.11      1.01
       mean_data_2[1]      0.54      0.00      0.54      0.53      0.55   1754.31      1.00
       mean_data_2[2]      0.54      0.01      0.54      0.53      0.56    722.93      1.00
       mean_data_3[0]      3.92      0.02      3.91      3.88      3.95    642.23      1.00
       mean_data_3[1]     -0.44      0.01     -0.44     -0.46     -0.43    747.76      1.00
       mean_data_3[2]     -0.11      0.01     -0.11     -0.12     -0.09    717.79      1.00
       mean_data_4[0]      2.70      0.03      2.70      2.65      2.75    758.12      1.00
       mean_data_4[1]     -0.03      0.01     -0.03     -0.05     -0.01    783.99      1.00
       mean_data_4[2]      0.20      0.01      0.20      0.19      0.22    952.24      1.00
       mean_data_5[0]      0.68      0.11      0.68      0.51      0.86    690.80      1.00
       mean_data_5[1]      1.48      0.01      1.48      1.46      1.50    950.41      1.00
       mean_data_5[2]     -1.02      0.02     -1.02     -1.05     -0.98    686.44      1.00
       mean_data_6[0]     -6.87      0.00     -6.87     -6.88     -6.87   1323.12      1.00
       mean_data_6[1]     -0.65      0.01     -0.65     -0.67     -0.63    918.27      1.00
       mean_data_6[2]     -0.31      0.01     -0.31     -0.33     -0.29    980.00      1.00
                 mu_1      3.43      0.05      3.43      3.35      3.51    747.53      1.00
                 mu_2      2.44      0.10      2.45      2.27      2.60    414.41      1.01
                 mu_3      1.24      0.15      1.28      1.01      1.43    171.26      1.03
                 mu_4      0.26      0.05      0.26      0.17      0.35    628.47      1.00

Number of divergences: 1
