,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,8401427,1e-05
1,20.0,0.0,-5.402794168165741,8401427,1e-05
2,30.0,0.0,-1.0,8401427,1e-05
3,0.0,0.0,-39.0,37812329,1e-05
4,20.0,0.0,-25.21683123562657,37812329,1e-05
5,40.0,0.0,-15.999999999999993,37812329,1e-05
6,0.0,0.0,-61.0,897346,1e-05
7,20.0,0.0,-49.062078787038544,897346,1e-05
8,60.0,0.0,-27.0,897346,1e-05
9,0.0,0.0,-72.0,82188497,1e-05
10,30.0,0.0,-55.5,82188497,1e-05
11,60.0,0.0,-39.0,82188497,1e-05
12,20.0,0.0,-68.73538295605542,13911146,1e-05
13,60.0,0.0,-52.0,13911146,1e-05
14,70.0,0.0,-77.0,74067844,1e-05
15,80.0,0.0,-71.0,74067844,1e-05
