,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,88271566,1e-05
1,20.0,0.0,-6.627837039716695,88271566,1e-05
2,30.0,0.0,-1.0,88271566,1e-05
3,0.0,0.0,-39.0,43456532,1e-05
4,20.0,0.0,-27.097383260311176,43456532,1e-05
5,40.0,0.0,-15.999999999999993,43456532,1e-05
6,0.0,0.0,-61.0,50447229,1e-05
7,20.0,0.0,-48.36425725851679,50447229,1e-05
8,60.0,0.0,-27.0,50447229,1e-05
9,0.0,0.0,-72.0,17477666,1e-05
10,30.0,0.0,-55.5,17477666,1e-05
11,60.0,0.0,-39.0,17477666,1e-05
12,20.0,0.0,-69.65829512150532,6227167,1e-05
13,60.0,0.0,-52.0,6227167,1e-05
14,70.0,0.0,-77.0,90646030,1e-05
15,80.0,0.0,-71.0,90646030,1e-05
