,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,92236921,1e-05
1,20.0,0.0,-6.942351136290483,92236921,1e-05
2,30.0,0.0,-1.0,92236921,1e-05
3,0.0,0.0,-39.0,41796635,1e-05
4,20.0,0.0,-26.127670918609496,41796635,1e-05
5,40.0,0.0,-15.999999999999993,41796635,1e-05
6,0.0,0.0,-61.0,86588998,1e-05
7,20.0,0.0,-45.89472251183393,86588998,1e-05
8,60.0,0.0,-27.0,86588998,1e-05
9,0.0,0.0,-72.0,89184363,1e-05
10,30.0,0.0,-55.5,89184363,1e-05
11,60.0,0.0,-39.0,89184363,1e-05
12,20.0,0.0,-67.38199515920245,72412028,1e-05
13,60.0,0.0,-52.0,72412028,1e-05
14,70.0,0.0,-77.0,43495991,1e-05
15,80.0,0.0,-71.0,43495991,1e-05
