
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.48      0.04      0.48      0.45      0.56      6.64      1.49
cov_eigen_values_1[1]      0.08      0.01      0.08      0.06      0.11     10.26      1.10
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.07     19.69      1.04
cov_eigen_values_1[3]      0.03      0.00      0.03      0.03      0.04     80.99      1.00
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.03     72.08      1.02
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     54.07      1.02
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02     85.07      1.02
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    177.83      1.00
cov_eigen_values_2[0]      0.56      0.04      0.56      0.50      0.62     22.08      1.13
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.09     41.06      1.00
cov_eigen_values_2[2]      0.07      0.01      0.07      0.06      0.08     39.51      1.07
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     43.58      1.01
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.05     82.11      1.04
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01     58.63      1.04
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02    280.97      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04    113.05      1.00
cov_eigen_values_3[0]      0.32      0.03      0.33      0.27      0.36      6.56      1.32
cov_eigen_values_3[1]      0.14      0.01      0.14      0.12      0.15     33.70      1.00
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    137.48      1.00
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    164.33      0.99
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     56.02      0.99
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05     74.39      0.99
cov_eigen_values_3[6]      0.06      0.01      0.06      0.05      0.07     41.53      1.04
cov_eigen_values_3[7]      0.06      0.01      0.06      0.05      0.07     84.16      0.99
cov_eigen_values_4[0]      0.20      0.01      0.20      0.18      0.22     13.67      1.13
cov_eigen_values_4[1]      0.08      0.01      0.08      0.06      0.10     21.54      1.08
cov_eigen_values_4[2]      0.06      0.01      0.06      0.04      0.08     26.05      1.01
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     46.96      1.00
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03    107.33      0.99
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00     72.36      1.08
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02    157.53      0.99
