,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,68125236,1e-05
1,20.0,0.0,-9.09412613745046,68125236,1e-05
2,30.0,0.0,-1.0,68125236,1e-05
3,0.0,0.0,-39.0,54339367,1e-05
4,20.0,0.0,-27.493223489712413,54339367,1e-05
5,40.0,0.0,-15.999999999999993,54339367,1e-05
6,0.0,0.0,-61.0,61489184,1e-05
7,20.0,0.0,-51.39608800984955,61489184,1e-05
8,60.0,0.0,-27.0,61489184,1e-05
9,0.0,0.0,-72.0,21864291,1e-05
10,30.0,0.0,-55.5,21864291,1e-05
11,60.0,0.0,-39.0,21864291,1e-05
12,20.0,0.0,-70.99919953251484,15184757,1e-05
13,60.0,0.0,-52.0,15184757,1e-05
14,70.0,0.0,-77.0,7246834,1e-05
15,80.0,0.0,-71.0,7246834,1e-05
