
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.35      0.03      0.34      0.31      0.39      8.54      1.12
cov_eigen_values_1[1]      0.09      0.01      0.09      0.06      0.11      7.32      1.05
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.08      8.04      1.24
cov_eigen_values_1[3]      0.04      0.01      0.04      0.02      0.05     20.91      1.10
cov_eigen_values_1[4]      0.02      0.01      0.02      0.01      0.03     27.62      1.01
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     76.14      0.99
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02    174.13      0.99
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    142.25      0.99
cov_eigen_values_2[0]      0.48      0.02      0.48      0.46      0.51     14.42      1.00
cov_eigen_values_2[1]      0.07      0.01      0.07      0.06      0.09      9.24      1.24
cov_eigen_values_2[2]      0.07      0.01      0.06      0.05      0.08     18.40      1.13
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     34.89      1.08
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     16.88      1.02
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01    117.24      1.00
cov_eigen_values_2[6]      0.02      0.00      0.02      0.01      0.02    219.35      1.01
cov_eigen_values_2[7]      0.03      0.00      0.03      0.02      0.04     60.36      1.04
cov_eigen_values_3[0]      0.30      0.03      0.30      0.26      0.33      7.85      1.12
cov_eigen_values_3[1]      0.14      0.01      0.13      0.11      0.15     10.37      1.26
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00     92.40      0.99
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    323.48      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     24.45      1.03
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05     54.08      0.99
cov_eigen_values_3[6]      0.06      0.01      0.06      0.05      0.07     24.35      1.00
cov_eigen_values_3[7]      0.06      0.00      0.06      0.05      0.06     64.16      0.99
cov_eigen_values_4[0]      0.18      0.01      0.18      0.16      0.20      6.67      1.14
cov_eigen_values_4[1]      0.08      0.01      0.09      0.06      0.10     14.05      1.02
cov_eigen_values_4[2]      0.06      0.01      0.06      0.04      0.08     13.48      1.04
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     33.33      0.99
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03     93.70      1.00
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00     61.64      1.06
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02     92.29      1.02
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    170.51      1.00
cov_eigen_values_5[0]      0.67      0.05      0.66      0.58      0.75      4.11      1.05
cov_eigen_values_5[1]      0.06      0.01      0.06      0.05      0.08     24.04      1.04
cov_eigen_values_5[2]      0.06      0.01      0.06      0.05      0.08      8.87      1.11
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.05     11.25      1.00
cov_eigen_values_5[4]      0.02      0.00      0.02      0.02      0.03     60.12      1.09
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.02     93.76      0.99
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00     58.41      1.00
cov_eigen_values_5[7]      0.00      0.00      0.00     -0.00      0.00    149.38      0.99
cov_eigen_values_6[0]      0.13      0.01      0.13      0.11      0.15      8.66      1.36
cov_eigen_values_6[1]      0.04      0.00      0.04      0.03      0.05     59.35      1.02
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.03     85.93      1.00
cov_eigen_values_6[3]      0.02      0.00      0.02      0.01      0.02    145.94      1.01
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.01    471.54      0.99
cov_eigen_values_6[5]      0.00      0.00      0.00      0.00      0.00    145.62      1.00
cov_eigen_values_6[6]      0.00      0.00      0.00      0.00      0.00     83.75      1.03
cov_eigen_values_6[7]      0.00      0.00      0.00      0.00      0.00    149.09      1.01
       mean_data_1[0]      3.72      0.00      3.72      3.72      3.73     99.82      0.99
       mean_data_1[1]      0.46      0.00      0.46      0.46      0.47    158.19      0.99
       mean_data_1[2]     -0.38      0.00     -0.38     -0.39     -0.38     87.63      0.99
       mean_data_1[3]      0.13      0.00      0.13      0.13      0.14     78.75      1.01
       mean_data_1[4]     -0.03      0.00     -0.03     -0.04     -0.03    131.55      0.99
       mean_data_1[5]     -0.08      0.00     -0.08     -0.09     -0.08    178.51      0.99
       mean_data_1[6]      0.06      0.00      0.06      0.06      0.07    148.16      1.01
       mean_data_1[7]     -0.02      0.00     -0.02     -0.02     -0.01    129.58      0.99
       mean_data_2[0]      1.05      0.00      1.05      1.05      1.06    121.89      1.00
       mean_data_2[1]      0.56      0.00      0.56      0.55      0.56    166.57      1.00
       mean_data_2[2]     -0.53      0.00     -0.53     -0.53     -0.52    149.18      1.00
       mean_data_2[3]      0.00      0.00      0.00     -0.00      0.01     83.81      0.99
       mean_data_2[4]      0.05      0.00      0.05      0.04      0.05    126.08      0.99
       mean_data_2[5]      0.04      0.00      0.04      0.04      0.04     97.60      0.99
       mean_data_2[6]     -0.02      0.00     -0.02     -0.03     -0.02    104.24      1.01
       mean_data_2[7]      0.01      0.00      0.01      0.01      0.02    189.76      1.00
       mean_data_3[0]     -3.92      0.00     -3.92     -3.93     -3.92    114.36      0.99
       mean_data_3[1]     -0.44      0.00     -0.44     -0.45     -0.44    161.41      1.00
       mean_data_3[2]      0.10      0.00      0.10      0.09      0.10    160.61      1.01
       mean_data_3[3]      0.02      0.00      0.02      0.02      0.03    146.49      0.99
       mean_data_3[4]      0.03      0.00      0.03      0.02      0.03    119.26      0.99
       mean_data_3[5]     -0.00      0.00     -0.00     -0.01     -0.00    132.28      1.00
       mean_data_3[6]      0.01      0.00      0.01      0.01      0.01    190.83      0.99
       mean_data_3[7]      0.00      0.00      0.00     -0.00      0.01    136.99      1.00
       mean_data_4[0]     -2.69      0.00     -2.69     -2.69     -2.68    152.52      1.00
       mean_data_4[1]     -0.03      0.00     -0.03     -0.03     -0.02    391.71      1.00
       mean_data_4[2]     -0.20      0.00     -0.20     -0.21     -0.20    131.38      1.00
       mean_data_4[3]     -0.09      0.00     -0.09     -0.09     -0.08    150.90      0.99
       mean_data_4[4]     -0.11      0.00     -0.11     -0.11     -0.10    163.55      0.99
       mean_data_4[5]     -0.00      0.00     -0.00     -0.01     -0.00    124.44      1.00
       mean_data_4[6]     -0.02      0.00     -0.02     -0.02     -0.01    126.46      0.99
       mean_data_4[7]     -0.01      0.00     -0.01     -0.02     -0.01    156.74      1.00
       mean_data_5[0]     -0.73      0.00     -0.73     -0.73     -0.73     90.56      0.99
       mean_data_5[1]      1.44      0.00      1.44      1.44      1.44    148.68      1.01
       mean_data_5[2]      1.07      0.00      1.07      1.07      1.07    136.51      1.03
       mean_data_5[3]     -0.01      0.00     -0.01     -0.02     -0.01    177.75      1.00
       mean_data_5[4]      0.00      0.00      0.00     -0.00      0.01    155.73      1.00
       mean_data_5[5]      0.00      0.00      0.00     -0.00      0.01    157.63      0.99
       mean_data_5[6]     -0.01      0.00     -0.01     -0.01     -0.01    128.13      1.00
       mean_data_5[7]     -0.00      0.00     -0.00     -0.01      0.00    112.99      1.00
       mean_data_6[0]      6.85      0.00      6.85      6.85      6.86    127.14      0.99
       mean_data_6[1]     -0.65      0.00     -0.65     -0.66     -0.65    157.00      1.01
       mean_data_6[2]      0.29      0.00      0.29      0.29      0.30     82.14      1.02
       mean_data_6[3]     -0.04      0.00     -0.04     -0.04     -0.03     99.39      1.00
       mean_data_6[4]     -0.00      0.00     -0.00     -0.00      0.00    296.61      0.99
       mean_data_6[5]      0.01      0.00      0.01      0.00      0.01    231.11      0.99
       mean_data_6[6]     -0.01      0.00     -0.01     -0.01     -0.01    281.32      0.99
       mean_data_6[7]      0.00      0.00      0.00     -0.00      0.00    948.49      0.99
                 mu_1      3.25      0.03      3.24      3.20      3.28      6.28      0.99
                 mu_2      2.33      0.02      2.33      2.29      2.35      7.51      1.12
                 mu_3      1.13      0.05      1.13      1.06      1.19      3.05      2.11
                 mu_4      0.15      0.09      0.17     -0.01      0.26      3.06      2.05

Number of divergences: 13
