,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,49907949,1e-05
1,20.0,0.0,-4.930510392302068,49907949,1e-05
2,30.0,0.0,-1.0,49907949,1e-05
3,0.0,0.0,-39.0,97934557,1e-05
4,20.0,0.0,-24.56007090284553,97934557,1e-05
5,40.0,0.0,-15.999999999999993,97934557,1e-05
6,0.0,0.0,-61.0,54652195,1e-05
7,20.0,0.0,-45.95536519675744,54652195,1e-05
8,60.0,0.0,-27.0,54652195,1e-05
9,0.0,0.0,-72.0,1969837,1e-05
10,30.0,0.0,-55.5,1969837,1e-05
11,60.0,0.0,-39.0,1969837,1e-05
12,20.0,0.0,-68.10643395474796,70984315,1e-05
13,60.0,0.0,-52.0,70984315,1e-05
14,70.0,0.0,-77.0,43660707,1e-05
15,80.0,0.0,-71.0,43660707,1e-05
