
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.07      0.44      0.34      0.56    550.39      1.00
cov_eigen_values_1[1]      0.02      0.00      0.01      0.01      0.02    347.76      1.00
cov_eigen_values_1[2]      0.07      0.01      0.07      0.05      0.08    762.24      1.00
cov_eigen_values_2[0]      0.68      0.06      0.67      0.58      0.77    624.03      1.00
cov_eigen_values_2[1]      0.05      0.00      0.05      0.04      0.06    930.68      1.00
cov_eigen_values_2[2]      0.03      0.00      0.03      0.03      0.04    935.00      1.00
cov_eigen_values_3[0]      0.24      0.02      0.24      0.22      0.27    708.29      1.00
cov_eigen_values_3[1]      0.02      0.00      0.02      0.02      0.02    711.94      1.01
cov_eigen_values_3[2]      0.05      0.00      0.05      0.05      0.06    996.07      1.00
cov_eigen_values_4[0]      0.23      0.03      0.23      0.19      0.27    502.99      1.00
cov_eigen_values_4[1]      0.01      0.00      0.01      0.01      0.02    557.77      1.01
cov_eigen_values_4[2]      0.04      0.00      0.04      0.03      0.04    800.59      1.00
cov_eigen_values_5[0]      0.55      0.08      0.54      0.43      0.68    523.38      1.00
cov_eigen_values_5[1]      0.01      0.00      0.01      0.01      0.02    486.41      1.00
cov_eigen_values_5[2]      0.04      0.01      0.04      0.03      0.05    497.73      1.00
cov_eigen_values_6[0]      0.12      0.01      0.12      0.10      0.14    593.67      1.01
cov_eigen_values_6[1]      0.01      0.00      0.01      0.01      0.01    738.68      1.00
cov_eigen_values_6[2]      0.03      0.00      0.03      0.03      0.04    612.33      1.00
       mean_data_1[0]     -3.80      0.09     -3.80     -3.96     -3.68    367.57      1.02
       mean_data_1[1]      0.43      0.01      0.43      0.41      0.46    466.09      1.01
       mean_data_1[2]      0.40      0.02      0.40      0.37      0.43    427.01      1.02
       mean_data_2[0]     -1.10      0.10     -1.10     -1.27     -0.96    638.50      1.00
       mean_data_2[1]      0.54      0.00      0.54      0.53      0.55   1104.19      1.00
       mean_data_2[2]      0.55      0.01      0.55      0.53      0.56    721.58      1.00
       mean_data_3[0]      3.92      0.02      3.92      3.87      3.95    407.31      1.00
       mean_data_3[1]     -0.44      0.01     -0.44     -0.46     -0.43    446.92      1.00
       mean_data_3[2]     -0.11      0.01     -0.10     -0.12     -0.09    445.90      1.00
       mean_data_4[0]      2.70      0.03      2.70      2.64      2.75    447.39      1.00
       mean_data_4[1]     -0.03      0.01     -0.03     -0.05     -0.01    457.92      1.00
       mean_data_4[2]      0.20      0.01      0.20      0.19      0.22    486.86      1.00
       mean_data_5[0]      0.68      0.11      0.68      0.53      0.87    215.98      1.04
       mean_data_5[1]      1.48      0.01      1.48      1.47      1.50    393.75      1.02
       mean_data_5[2]     -1.01      0.02     -1.02     -1.06     -0.98    218.79      1.04
       mean_data_6[0]     -6.87      0.00     -6.87     -6.88     -6.86   1093.59      1.00
       mean_data_6[1]     -0.65      0.01     -0.65     -0.67     -0.63    633.59      1.00
       mean_data_6[2]     -0.31      0.01     -0.31     -0.32     -0.29    707.73      1.00
                 mu_1      3.43      0.05      3.43      3.35      3.51    566.93      1.00
                 mu_2      2.45      0.10      2.46      2.30      2.63    315.03      1.01
                 mu_3      1.25      0.15      1.30      1.03      1.46     85.38      1.06
                 mu_4      0.26      0.05      0.26      0.18      0.34    258.80      1.01

Number of divergences: 0
