,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,94591129,1e-05
1,20.0,0.0,-6.941335421789631,94591129,1e-05
2,30.0,0.0,-1.0,94591129,1e-05
3,0.0,0.0,-39.0,17604048,1e-05
4,20.0,0.0,-28.385528328767577,17604048,1e-05
5,40.0,0.0,-15.999999999999993,17604048,1e-05
6,0.0,0.0,-61.0,79866412,1e-05
7,20.0,0.0,-50.034187848655115,79866412,1e-05
8,60.0,0.0,-27.0,79866412,1e-05
9,0.0,0.0,-72.0,67601823,1e-05
10,30.0,0.0,-55.5,67601823,1e-05
11,60.0,0.0,-39.0,67601823,1e-05
12,20.0,0.0,-69.40024534656409,50801269,1e-05
13,60.0,0.0,-52.0,50801269,1e-05
14,70.0,0.0,-77.0,40036224,1e-05
15,80.0,0.0,-71.0,40036224,1e-05
