
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.45      0.03      0.45      0.40      0.50      7.53      1.00
cov_eigen_values_1[1]      0.08      0.01      0.08      0.07      0.10     18.44      1.02
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.07     33.21      1.00
cov_eigen_values_1[3]      0.04      0.01      0.03      0.02      0.04     19.47      1.03
cov_eigen_values_1[4]      0.02      0.00      0.02      0.02      0.03    107.95      1.00
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00    101.62      0.99
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02     80.54      1.00
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    233.11      1.02
cov_eigen_values_2[0]      0.61      0.05      0.61      0.54      0.69      4.46      1.02
cov_eigen_values_2[1]      0.08      0.01      0.07      0.06      0.10     14.80      1.05
cov_eigen_values_2[2]      0.07      0.01      0.07      0.06      0.08     23.71      1.07
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     68.06      1.01
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     42.37      0.99
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01     87.00      1.01
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02    208.39      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.02      0.04    114.89      1.00
cov_eigen_values_3[0]      0.31      0.02      0.31      0.26      0.33     10.25      0.99
cov_eigen_values_3[1]      0.14      0.01      0.14      0.12      0.16     24.46      0.99
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    110.21      1.02
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    276.49      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     53.87      1.02
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05    104.17      1.03
cov_eigen_values_3[6]      0.06      0.01      0.06      0.05      0.07     42.72      1.02
cov_eigen_values_3[7]      0.06      0.00      0.06      0.05      0.06     55.93      1.02
cov_eigen_values_4[0]      0.21      0.03      0.21      0.16      0.26      3.34      2.02
cov_eigen_values_4[1]      0.08      0.01      0.08      0.06      0.11      6.14      1.61
cov_eigen_values_4[2]      0.06      0.01      0.06      0.04      0.07     44.30      1.00
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     39.31      1.00
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03     61.56      1.09
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00    136.08      0.99
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02     94.48      1.01
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    155.49      0.99
cov_eigen_values_5[0]      0.58      0.06      0.60      0.49      0.66      2.84      2.37
cov_eigen_values_5[1]      0.09      0.02      0.08      0.06      0.12      4.29      1.51
cov_eigen_values_5[2]      0.07      0.01      0.07      0.05      0.09     13.28      1.11
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.05     34.28      1.01
cov_eigen_values_5[4]      0.03      0.01      0.03      0.02      0.04     25.63      1.03
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.02    113.37      1.02
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00     93.14      1.00
cov_eigen_values_5[7]      0.00      0.00      0.00     -0.00      0.00     85.77      1.01
cov_eigen_values_6[0]      0.16      0.02      0.16      0.13      0.20      7.82      1.01
cov_eigen_values_6[1]      0.04      0.01      0.04      0.03      0.04     40.94      1.03
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.03    127.15      1.00
cov_eigen_values_6[3]      0.02      0.00      0.02      0.01      0.02    393.84      1.00
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.02    215.67      1.00
cov_eigen_values_6[5]      0.00      0.00      0.00      0.00      0.00    135.27      0.99
