,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,67457284,1e-05
1,20.0,0.0,-11.725853402221802,67457284,1e-05
2,30.0,0.0,-1.0,67457284,1e-05
3,0.0,0.0,-39.0,80999422,1e-05
4,20.0,0.0,-28.829943568605387,80999422,1e-05
5,40.0,0.0,-15.999999999999993,80999422,1e-05
6,0.0,0.0,-61.0,46918158,1e-05
7,20.0,0.0,-48.00356568550498,46918158,1e-05
8,60.0,0.0,-27.0,46918158,1e-05
9,0.0,0.0,-72.0,89066315,1e-05
10,30.0,0.0,-55.5,89066315,1e-05
11,60.0,0.0,-39.0,89066315,1e-05
12,20.0,0.0,-69.98278633448173,39104095,1e-05
13,60.0,0.0,-52.0,39104095,1e-05
14,70.0,0.0,-77.0,66949931,1e-05
15,80.0,0.0,-71.0,66949931,1e-05
