,X,Y,Z,id,nugget
0,0.0,0.0,-20.999999999999993,86066409,1e-05
1,20.0,0.0,-4.940912598546944,86066409,1e-05
2,30.0,0.0,-1.0,86066409,1e-05
3,0.0,0.0,-39.0,63949863,1e-05
4,20.0,0.0,-24.372002844671073,63949863,1e-05
5,40.0,0.0,-15.999999999999993,63949863,1e-05
6,0.0,0.0,-61.0,60601710,1e-05
7,20.0,0.0,-52.0247872567972,60601710,1e-05
8,60.0,0.0,-27.0,60601710,1e-05
9,0.0,0.0,-72.0,84637194,1e-05
10,30.0,0.0,-55.5,84637194,1e-05
11,60.0,0.0,-39.0,84637194,1e-05
12,20.0,0.0,-69.91059711212081,25865463,1e-05
13,60.0,0.0,-52.0,25865463,1e-05
14,70.0,0.0,-77.0,1120126,1e-05
15,80.0,0.0,-71.0,1120126,1e-05
