
                           mean       std    median      5.0%     95.0%     n_eff     r_hat
cov_eigen_values_1[0]      0.44      0.06      0.44      0.37      0.53      3.02      3.26
cov_eigen_values_1[1]      0.09      0.02      0.08      0.06      0.13      6.68      1.31
cov_eigen_values_1[2]      0.05      0.01      0.05      0.04      0.06     49.13      1.06
cov_eigen_values_1[3]      0.03      0.01      0.03      0.02      0.04     23.44      1.05
cov_eigen_values_1[4]      0.02      0.00      0.02      0.01      0.03     89.16      1.00
cov_eigen_values_1[5]      0.00      0.00      0.00      0.00      0.00     98.43      0.99
cov_eigen_values_1[6]      0.02      0.00      0.02      0.01      0.02    180.62      1.00
cov_eigen_values_1[7]      0.01      0.00      0.01      0.01      0.01    158.38      1.00
cov_eigen_values_2[0]      0.56      0.04      0.56      0.49      0.61      4.11      1.83
cov_eigen_values_2[1]      0.08      0.01      0.07      0.06      0.09     16.43      1.07
cov_eigen_values_2[2]      0.07      0.01      0.07      0.06      0.09     22.40      1.00
cov_eigen_values_2[3]      0.05      0.01      0.05      0.04      0.06     49.03      1.09
cov_eigen_values_2[4]      0.05      0.01      0.05      0.04      0.06     37.78      1.18
cov_eigen_values_2[5]      0.01      0.00      0.01      0.01      0.01     89.44      1.02
cov_eigen_values_2[6]      0.02      0.00      0.02      0.02      0.02    228.86      1.00
cov_eigen_values_2[7]      0.03      0.00      0.03      0.03      0.04     73.81      1.03
cov_eigen_values_3[0]      0.31      0.02      0.31      0.28      0.34     18.79      1.00
cov_eigen_values_3[1]      0.14      0.01      0.14      0.12      0.15     12.80      1.14
cov_eigen_values_3[2]      0.00      0.00      0.00      0.00      0.00    130.00      1.01
cov_eigen_values_3[3]      0.02      0.00      0.02      0.02      0.02    199.33      1.00
cov_eigen_values_3[4]      0.07      0.01      0.07      0.06      0.08     44.03      1.03
cov_eigen_values_3[5]      0.05      0.00      0.05      0.04      0.05     56.41      1.00
cov_eigen_values_3[6]      0.06      0.01      0.06      0.06      0.07     58.01      0.99
cov_eigen_values_3[7]      0.06      0.01      0.06      0.05      0.07     37.54      1.01
cov_eigen_values_4[0]      0.20      0.03      0.20      0.15      0.26      5.43      1.17
cov_eigen_values_4[1]      0.09      0.01      0.09      0.07      0.11     10.64      0.99
cov_eigen_values_4[2]      0.06      0.01      0.05      0.04      0.07     17.99      1.00
cov_eigen_values_4[3]      0.04      0.01      0.04      0.03      0.05     43.19      1.00
cov_eigen_values_4[4]      0.02      0.00      0.02      0.02      0.03     84.10      1.01
cov_eigen_values_4[5]      0.00      0.00      0.00      0.00      0.00     36.52      1.04
cov_eigen_values_4[6]      0.02      0.00      0.02      0.01      0.02    411.83      1.00
cov_eigen_values_4[7]      0.01      0.00      0.01      0.01      0.01    191.57      1.01
cov_eigen_values_5[0]      0.65      0.04      0.65      0.60      0.71      3.71      1.96
cov_eigen_values_5[1]      0.08      0.02      0.07      0.05      0.10     16.90      1.00
cov_eigen_values_5[2]      0.06      0.01      0.06      0.05      0.08     18.89      1.00
cov_eigen_values_5[3]      0.04      0.01      0.04      0.03      0.05     10.19      1.13
cov_eigen_values_5[4]      0.02      0.00      0.02      0.02      0.03     92.86      0.99
cov_eigen_values_5[5]      0.01      0.00      0.01      0.01      0.02    124.49      0.99
cov_eigen_values_5[6]      0.00      0.00      0.00      0.00      0.00    138.73      0.99
cov_eigen_values_5[7]      0.00      0.00      0.00     -0.00      0.00    153.01      0.99
cov_eigen_values_6[0]      0.16      0.02      0.15      0.13      0.21      7.33      1.30
cov_eigen_values_6[1]      0.04      0.00      0.04      0.03      0.04     59.09      0.99
cov_eigen_values_6[2]      0.02      0.00      0.02      0.02      0.03    149.55      1.00
cov_eigen_values_6[3]      0.02      0.00      0.02      0.01      0.02    275.24      0.99
cov_eigen_values_6[4]      0.01      0.00      0.01      0.01      0.01    161.61      0.99
cov_eigen_values_6[5]      0.00      0.00      0.00      0.00      0.00     58.80      1.02
cov_eigen_values_6[6]      0.00      0.00      0.00      0.00      0.00    125.86      0.99
cov_eigen_values_6[7]      0.00      0.00      0.00      0.00      0.00    100.13      1.00
       mean_data_1[0]      3.72      0.00      3.72      3.71      3.73    147.87      1.00
       mean_data_1[1]      0.46      0.00      0.46      0.46      0.47    156.91      1.00
       mean_data_1[2]     -0.38      0.00     -0.38     -0.39     -0.38    112.95      0.99
       mean_data_1[3]      0.13      0.00      0.13      0.13      0.14    152.45      0.99
