
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
     mean_data_1[0]      3.58      0.04      3.60      3.52      3.63      2.70      2.39
     mean_data_1[1]      0.37      0.06      0.37      0.29      0.44      2.46      2.69
     mean_data_1[2]     -0.57      0.03     -0.57     -0.60     -0.53      2.43      4.16
     mean_data_1[3]      0.39      0.01      0.39      0.37      0.40      7.57      0.99
     mean_data_1[4]     -0.33      0.04     -0.33     -0.38     -0.27      4.19      1.82
     mean_data_1[5]     -0.02      0.01     -0.02     -0.03     -0.01     14.26      1.06
     mean_data_1[6]      0.09      0.08      0.06     -0.00      0.19      3.16      2.30
     mean_data_1[7]      0.10      0.03      0.09      0.07      0.15      2.78      2.19
     mean_data_2[0]      1.56      0.03      1.56      1.53      1.63      6.54      2.15
     mean_data_2[1]      0.51      0.02      0.52      0.46      0.55      5.17      1.19
     mean_data_2[2]     -0.42      0.02     -0.43     -0.44     -0.40      3.28      1.81
     mean_data_2[3]     -0.05      0.03     -0.05     -0.09      0.01      3.41      2.01
     mean_data_2[4]      0.04      0.06      0.02     -0.03      0.13      2.71      2.51
     mean_data_2[5]      0.02      0.07      0.05     -0.07      0.10      2.48      3.11
     mean_data_2[6]      0.04      0.01      0.04      0.02      0.05      4.11      1.76
     mean_data_2[7]     -0.10      0.05     -0.12     -0.16     -0.04      2.47      4.63
     mean_data_3[0]     -3.53      0.03     -3.55     -3.57     -3.49      2.89      2.61
     mean_data_3[1]     -0.33      0.01     -0.33     -0.34     -0.31      5.55      1.34
     mean_data_3[2]      0.01      0.02      0.00     -0.01      0.04      2.61      2.49
     mean_data_3[3]      0.01      0.01      0.01     -0.00      0.03      6.00      1.36
     mean_data_3[4]     -0.00      0.01     -0.00     -0.02      0.01      4.88      1.01
     mean_data_3[5]      0.01      0.02      0.02     -0.02      0.03      3.56      2.00
     mean_data_3[6]      0.02      0.01      0.02     -0.01      0.03      4.82      1.22
     mean_data_3[7]      0.00      0.01      0.01     -0.02      0.02      2.94      2.14
     mean_data_4[0]     -3.49      0.02     -3.49     -3.53     -3.46      7.04      0.99
     mean_data_4[1]      0.27      0.03      0.25      0.22      0.32      2.74      2.24
     mean_data_4[2]     -0.60      0.07     -0.64     -0.69     -0.49      2.60      2.71
     mean_data_4[3]      0.23      0.02      0.24      0.20      0.25      4.24      1.06
     mean_data_4[4]     -0.62      0.06     -0.65     -0.68     -0.52      2.75      2.08
     mean_data_4[5]     -0.50      0.04     -0.49     -0.55     -0.43      4.70      1.00
     mean_data_4[6]     -0.34      0.11     -0.37     -0.49     -0.19      2.88      3.53
     mean_data_4[7]     -0.20      0.03     -0.21     -0.23     -0.15      9.61      1.11
     mean_data_5[0]     -0.69      0.01     -0.69     -0.70     -0.67      4.78      1.65
     mean_data_5[1]      1.49      0.05      1.49      1.43      1.58      3.31      2.00
     mean_data_5[2]      1.14      0.02      1.13      1.11      1.16      5.14      1.29
     mean_data_5[3]      0.13      0.06      0.16      0.02      0.19      3.71      1.59
     mean_data_5[4]     -0.13      0.05     -0.14     -0.19     -0.06      3.00      1.83
     mean_data_5[5]      0.36      0.06      0.35      0.29      0.46      2.99      2.09
     mean_data_5[6]     -0.02      0.03     -0.03     -0.06      0.02      5.47      1.07
     mean_data_5[7]      0.38      0.02      0.38      0.36      0.40      3.38      2.07
     mean_data_6[0]      6.81      0.03      6.81      6.77      6.84      3.71      1.53
     mean_data_6[1]     -0.49      0.04     -0.49     -0.57     -0.44      4.31      1.27
     mean_data_6[2]      0.27      0.03      0.25      0.24      0.31      2.45      4.04
     mean_data_6[3]      0.06      0.04      0.05      0.00      0.11      2.53      2.53
     mean_data_6[4]      0.02      0.03      0.03     -0.02      0.06      3.58      2.21
     mean_data_6[5]     -0.04      0.05     -0.02     -0.11      0.02      2.93      2.12
     mean_data_6[6]     -0.05      0.06     -0.08     -0.11      0.03      2.78      2.76
     mean_data_6[7]      0.21      0.01      0.20      0.19      0.23      6.42      1.38
               mu_1      3.58      0.03      3.59      3.53      3.60      7.38      1.02
               mu_2      2.30      0.07      2.34      2.21      2.37      2.60      3.72
               mu_3      0.58      0.01      0.58      0.57      0.60     13.58      1.00
               mu_4      0.20      0.02      0.20      0.17      0.22      2.66      2.36
 upper_tri_cov_1[0]     -0.09      0.10     -0.15     -0.20      0.04      2.59      3.59
 upper_tri_cov_1[1]      0.21      0.06      0.23      0.12      0.30      2.65      3.24
 upper_tri_cov_1[2]      0.16      0.01      0.16      0.15      0.17      9.52      1.28
 upper_tri_cov_1[3]     -0.08      0.02     -0.08     -0.11     -0.05      2.72      3.22
 upper_tri_cov_1[4]     -0.13      0.04     -0.13     -0.19     -0.08      2.50      2.66
 upper_tri_cov_1[5]     -0.45      0.01     -0.45     -0.48     -0.43     16.05      1.09
 upper_tri_cov_1[6]     -0.19      0.02     -0.19     -0.23     -0.16      2.87      2.51
 upper_tri_cov_1[7]      0.20      0.03      0.21      0.15      0.23      2.88      2.23
 upper_tri_cov_1[8]     -0.30      0.04     -0.29     -0.36     -0.26      2.83      3.32
 upper_tri_cov_1[9]     -0.07      0.02     -0.07     -0.09     -0.04      2.69      2.45
upper_tri_cov_1[10]      0.34      0.02      0.34      0.30      0.37     10.87      1.10
upper_tri_cov_1[11]     -0.38      0.01     -0.38     -0.39     -0.36      8.64      1.06
upper_tri_cov_1[12]     -0.11      0.03     -0.12     -0.15     -0.05      5.79      1.04
upper_tri_cov_1[13]      0.15      0.04      0.14      0.10      0.21      7.97      1.57
upper_tri_cov_1[14]     -0.04      0.04     -0.05     -0.08      0.01      6.72      1.51
upper_tri_cov_1[15]     -0.08      0.05     -0.09     -0.14      0.00      2.63      2.83
upper_tri_cov_1[16]     -0.58      0.12     -0.55     -0.76     -0.44      3.64      1.46
upper_tri_cov_1[17]      0.46      0.04      0.46      0.39      0.51      5.53      1.41
upper_tri_cov_1[18]     -0.14      0.04     -0.14     -0.20     -0.09      4.66      1.33
upper_tri_cov_1[19]      0.39      0.03      0.40      0.35      0.43      3.70      2.17
upper_tri_cov_1[20]     -0.62      0.05     -0.63     -0.70     -0.54      3.20      2.06
upper_tri_cov_1[21]      0.16      0.02      0.15      0.14      0.19      5.09      1.27
upper_tri_cov_1[22]      0.27      0.04      0.28      0.23      0.32      2.48      3.83
upper_tri_cov_1[23]     -0.56      0.02     -0.57     -0.59     -0.54      5.42      2.31
upper_tri_cov_1[24]     -0.16      0.03     -0.15     -0.22     -0.11      3.62      1.64
upper_tri_cov_1[25]      0.33      0.01      0.33      0.31      0.35     10.66      1.03
upper_tri_cov_1[26]     -0.34      0.04     -0.36     -0.39     -0.29      2.73      2.16
upper_tri_cov_1[27]     -0.30      0.01     -0.30     -0.32     -0.29      4.82      1.60
upper_tri_cov_1[28]     -0.08      0.02     -0.07     -0.12     -0.05      3.40      1.48
upper_tri_cov_1[29]     -0.12      0.03     -0.13     -0.16     -0.08      5.49      1.05
upper_tri_cov_1[30]     -0.63      0.07     -0.64     -0.75     -0.55      2.71      2.53
upper_tri_cov_1[31]      0.20      0.06      0.18      0.13      0.28      2.46      2.81
upper_tri_cov_1[32]      0.55      0.06      0.57      0.44      0.61      5.14      1.18
upper_tri_cov_1[33]     -0.89      0.06     -0.89     -0.97     -0.80      3.30      1.54
upper_tri_cov_1[34]      0.31      0.10      0.31      0.14      0.44      2.83      2.49
upper_tri_cov_1[35]     -0.66      0.01     -0.66     -0.68     -0.64     13.38      1.01
 upper_tri_cov_2[0]      0.05      0.03      0.05      0.02      0.10      4.21      1.24
 upper_tri_cov_2[1]     -0.09      0.09     -0.11     -0.23      0.03      3.19      3.03
 upper_tri_cov_2[2]     -0.05      0.02     -0.05     -0.09     -0.03      5.82      1.32
 upper_tri_cov_2[3]      0.32      0.07      0.29      0.22      0.42      2.55      3.13
 upper_tri_cov_2[4]      0.21      0.04      0.22      0.15      0.25      2.91      2.15
 upper_tri_cov_2[5]     -0.19      0.06     -0.19     -0.31     -0.11      4.88      1.50
 upper_tri_cov_2[6]     -0.05      0.04     -0.06     -0.09      0.01      3.01      2.10
 upper_tri_cov_2[7]      0.13      0.02      0.14      0.11      0.16      3.76      2.15
 upper_tri_cov_2[8]     -1.62      0.13     -1.61     -1.79     -1.44      4.26      1.49
 upper_tri_cov_2[9]     -0.24      0.12     -0.29     -0.41     -0.08      2.45      3.02
upper_tri_cov_2[10]     -0.16      0.05     -0.17     -0.23     -0.06      4.47      2.11
upper_tri_cov_2[11]     -0.62      0.03     -0.62     -0.67     -0.59      6.95      1.00
upper_tri_cov_2[12]     -0.07      0.06     -0.11     -0.15      0.00      2.48      3.29
upper_tri_cov_2[13]     -0.18      0.04     -0.19     -0.23     -0.13      2.78      2.40
upper_tri_cov_2[14]     -0.02      0.09     -0.06     -0.13      0.11      2.51      4.34
upper_tri_cov_2[15]     -0.95      0.02     -0.96     -0.98     -0.93      3.21      2.17
upper_tri_cov_2[16]     -0.26      0.11     -0.22     -0.38     -0.12      2.47      4.20
upper_tri_cov_2[17]     -0.27      0.03     -0.27     -0.31     -0.21      5.64      1.25
upper_tri_cov_2[18]      0.20      0.01      0.20      0.18      0.21     14.48      1.32
upper_tri_cov_2[19]     -0.45      0.08     -0.42     -0.60     -0.36      2.73      2.19
upper_tri_cov_2[20]     -0.36      0.05     -0.38     -0.43     -0.30      3.08      2.74
upper_tri_cov_2[21]     -1.70      0.16     -1.70     -1.92     -1.48      2.48      3.78
upper_tri_cov_2[22]     -0.09      0.02     -0.09     -0.13     -0.06      5.59      2.05
upper_tri_cov_2[23]      0.52      0.10      0.49      0.39      0.65      2.48      2.74
upper_tri_cov_2[24]     -0.02      0.01     -0.02     -0.05     -0.00      7.29      1.00
upper_tri_cov_2[25]      0.22      0.07      0.24      0.12      0.30      2.39      3.67
upper_tri_cov_2[26]     -1.10      0.03     -1.10     -1.15     -1.05      5.44      1.20
upper_tri_cov_2[27]      0.11      0.10      0.08     -0.00      0.25      2.40      3.86
upper_tri_cov_2[28]     -0.09      0.02     -0.09     -0.13     -0.06      7.01      1.57
upper_tri_cov_2[29]      0.38      0.01      0.38      0.36      0.40      8.97      0.99
upper_tri_cov_2[30]     -1.36      0.04     -1.37     -1.40     -1.31      3.77      1.79
